YQ,natural_flow,VIF_MLR,VIF_LSTM,VIF_LSTM_MLR
2009-2,1330,1481.4721896541694,1440.5551666666668,1440.5551666666668
2009-3,943,1201.4524737895006,1208.3948333333333,1208.3948333333333
2009-4,290,248.73366387661403,256.59725,256.59725
2010-1,495,342.98712361781554,357.3830966666667,357.3830966666667
2010-2,1130,1395.006232416773,1397.7403666666667,1397.7403666666667
2010-3,801,613.8635480202689,613.8184433333333,613.8184433333333
2010-4,247,247.07023258440415,239.62524333333332,240.07431894898514
2011-1,490,374.1100489885371,363.09797333333336,363.09797333333336
2011-2,1120,1231.0523369055986,1216.4844666666665,1216.4844666666665
2011-3,795,917.0444133120345,901.9753666666666,901.9753666666666
2011-4,241,260.78844865102195,260.1371466666667,260.1371466666667
2012-1,642,551.3277431943512,544.9937566666666,544.9937566666666
2012-2,1460,1995.1357606400416,1938.4988333333333,1938.4988333333333
2012-3,1030,850.1683443261658,855.4609999999999,855.4609999999999
2012-4,320,253.9417631162834,248.48199999999997,248.36140727034453
2013-1,442,460.1084405633574,440.88438666666667,440.88438666666667
2013-2,990,1252.0467947438362,1239.7028666666668,1239.7028666666668
2013-3,700,602.2398193723938,591.9797199999999,591.9797199999999
2013-4,221,213.13452964962275,214.31286666666665,202.14456817485748
2014-1,472,338.7531476108482,345.53828999999996,345.53828999999996
2014-2,1070,1028.0011082842977,995.3861333333334,995.3861333333334
2014-3,760,1021.6230724620171,1031.3066166666665,1031.3066166666665
2014-4,230,241.50054862144034,232.2621333333333,240.02318065782197
2015-1,355,315.27502486194624,311.8132933333333,311.8132933333333
2015-2,795,870.2525513013697,872.4561333333335,872.4561333333335
2015-3,570,614.0723565137316,603.4326866666667,603.4326866666667
2015-4,178,196.08383378813178,188.80391,193.4060781781333
