date,flow,R-LSTM
1976-10-31,1120.0716845878137,1053.719
1976-11-30,586.0339506,562.8148
1976-12-31,315.00149342891274,296.11472
1977-01-31,228.0092592592593,208.85913
1977-02-28,219.9900793650794,189.07147
1977-03-31,294.9895459976105,272.50348
1977-04-30,670.1388888888889,615.4162
1977-05-31,890.0836320191158,860.45795
1977-06-30,994.9845679012343,996.66473
1977-07-31,831.0931899641577,843.6506
1977-08-31,760.9020310633214,718.8617
1977-09-30,694.8302469135804,667.78107
1977-10-31,567.1296296296297,554.1369
1977-11-30,355.0154320987654,330.24847
1977-12-31,192.98835125448028,193.60934
1978-01-31,136.9847670250896,139.1031
1978-02-28,151.00033068783068,139.73059
1978-03-31,197.99133811230587,190.63925
1978-04-30,484.9537037037037,469.0226
1978-05-31,595.1314217443249,572.80225
1978-06-30,800.9259259,794.52356
1978-07-31,620.1463560334528,622.57385
1978-08-31,1149.9402628434889,1101.6133
1978-09-30,1859.953703703704,1789.6776
1978-10-31,1089.8297491039427,1086.6354
1978-11-30,587.9629629629629,565.52716
1978-12-31,274.0068697729988,274.72705
1979-01-31,200.00746714456392,184.97594
1979-02-28,187.00396825396825,162.834
1979-03-31,221.99820788530465,201.34473
1979-04-30,390.0462962962963,373.96127
1979-05-31,400.9856630824373,410.1226
1979-06-30,467.9783950617284,471.31638
1979-07-31,1080.1224611708485,1110.9279
1979-08-31,1749.9253285543607,1737.7288
1979-09-30,1790.1234567901238,1731.1344
1979-10-31,1040.1732377538829,1014.3953
1979-11-30,486.1111111111111,472.41077
1979-12-31,266.01702508960574,251.61382
1980-01-31,183.99044205495807,167.38145
1980-02-29,185.9833971902937,156.04262
1980-03-31,244.9970131421744,213.48602
1980-04-30,339.0046296296297,311.0901
1980-05-31,368.9889486260453,356.71136
1980-06-30,616.8981481481482,618.6746
1980-07-31,1379.9283154121863,1320.7587
1980-08-31,994.9970131421744,1015.5095
1980-09-30,1420.138888888889,1425.042
1980-10-31,1170.1015531660694,1127.1333
1980-11-30,525.8487654320987,536.21893
1980-12-31,233.0122461170848,247.31174
1981-01-31,182.0116487455197,173.34998
1981-02-28,187.00396825396825,165.54051
1981-03-31,227.00119474313018,105.32316
1981-04-30,336.99845679012344,318.30243
1981-05-31,571.9832735961768,547.6659
1981-06-30,1010.0308641975308,1036.0713
1981-07-31,1670.026882,1632.3656
1981-08-31,1059.9611708482676,1077.7261
1981-09-30,3530.0925925925926,3505.6438
1981-10-31,1730.1373954599758,1720.0903
1981-11-30,697.1450617,726.69977
1981-12-31,341.9952210274791,354.26953
1982-01-31,253.99492234169654,243.75807
1982-02-28,244.00628306878303,223.47247
1982-03-31,281.9967144563919,256.79123
1982-04-30,403.1635802469135,371.78595
1982-05-31,816.9056153,863.98035
1982-06-30,1469.9074074074074,1558.0042
1982-07-31,1749.9253285543607,1852.5667
1982-08-31,1070.041816009558,1127.4905
1982-09-30,1670.138888888889,1690.1879
1982-10-31,1659.9462365591398,1668.3486
1982-11-30,736.8827160493828,723.18823
1982-12-31,340.0164277180406,325.82672
1983-01-31,234.99103942652332,223.59624
1983-02-28,217.01388888888889,203.17726
1983-03-31,233.0122461170848,237.50264
1983-04-30,442.9012345679012,447.23233
1983-05-31,868.0555555555555,866.2266
1983-06-30,1219.9074074074074,1227.3958
1983-07-31,2660.170250896057,2671.782
1983-08-31,1879.8536439665472,1814.3209
1983-09-30,1130.0154320987654,1193.226
1983-10-31,2019.862604540024,1921.7789
1983-11-30,935.1851851851852,911.2901
1983-12-31,377.83751493428906,385.15405
1984-01-31,261.01403823178015,247.57512
1984-02-29,264.0086206896552,246.80576
1984-03-31,298.9844683,287.5839
1984-04-30,412.80864197530866,404.3733
1984-05-31,498.0585424133812,485.9485
1984-06-30,1010.0308641975308,1081.4458
1984-07-31,2430.1821983273594,2436.742
1984-08-31,1500.1493428912784,1490.2731
1984-09-30,831.0185185185185,914.39056
1984-10-31,862.8285543608124,869.0938
1984-11-30,492.01388888888897,523.5512
1984-12-31,275.01493428912784,289.73956
1985-01-31,204.00238948626043,198.09637
1985-02-28,182.0023148148148,176.3512
1985-03-31,228.0092592592593,226.4416
1985-04-30,330.0154320987654,345.92062
1985-05-31,426.0005973715651,442.35367
1985-06-30,652.0061728395061,647.93207
1985-07-31,1300.0298685782557,1200.3905
1985-08-31,971.1021505376344,1076.0555
1985-09-30,2380.0154320987654,2357.535
1985-10-31,1189.889486260454,1227.475
1985-11-30,516.9753086419753,515.37695
1985-12-31,272.9988052568698,280.2739
1986-01-31,206.0185185185185,196.22548
1986-02-28,196.01521164021165,183.91429
1986-03-31,229.01732377538826,230.00758
1986-04-30,328.0092592592593,356.38528
1986-05-31,823.9994026284348,823.6113
1986-06-30,1099.9228395061727,1141.1399
1986-07-31,1580.047789725209,1753.2163
1986-08-31,717.9659498207885,797.1498
1986-09-30,996.9135802469137,1076.7123
1986-10-31,377.0908004778972,639.01154
1986-11-30,18.80015432098765,372.44675
1986-12-31,15.098566308243731,230.55801
1987-01-31,12.89949223416966,159.1678
1987-02-28,307.00231481481484,164.39232
1987-03-31,599.9850657108722,197.58719
1987-04-30,355.0154320987654,268.1861
1987-05-31,427.12066905615296,529.7444
1987-06-30,643.1327160493828,1121.1816
1987-07-31,809.0651135005974,1683.6814
1987-08-31,853.1212664277182,1100.3812
1987-09-30,333.9891975308642,691.84973
1987-10-31,234.99103942652332,563.7163
1987-11-30,226.00308641975306,352.28098
1987-12-31,375.97072879330943,196.99234
1988-01-31,321.0125448028674,153.76529
1988-02-29,415.07024265644964,156.01875
1988-03-31,484.99103942652323,223.77022
1988-04-30,339.0046296296297,345.95816
1988-05-31,449.14874551971326,420.61575
1988-06-30,493.0555555555555,789.07874
1988-07-31,700.0448028673835,842.9255
1988-08-31,554.0621266427718,592.26556
1988-09-30,581.0185185185185,803.8751
1988-10-31,604.8387096774194,1231.8102
1988-11-30,542.0524691358024,691.7708
1988-12-31,477.15053763440864,315.84695
1989-01-31,653.0017921146953,195.036
1989-02-28,457.1759259259259,173.55579
1989-03-31,443.9217443249702,269.79816
1989-04-30,420.9104938271605,381.39938
1989-05-31,676.1499402628435,860.83466
1989-06-30,770.8333333333334,2376.8171
1989-07-31,997.9838710000001,2457.6387
1989-08-31,1810.0358422939069,1988.6796
1989-09-30,1841.4351851851848,1852.4305
1989-10-31,831.0931899641577,1181.4316
1989-11-30,520.4475308641976,670.8444
1989-12-31,433.09438470728793,348.1879
1990-01-31,617.1594982078853,257.01566
1990-02-28,622.5198412698413,245.88509
1990-03-31,676.8966547192354,282.3533
1990-04-30,680.1697530864197,360.73383
1990-05-31,1070.041816009558,678.9724
1990-06-30,986.8827160493828,752.5746
1990-07-31,756.0483870967741,793.9059
1990-08-31,735.8870967741935,841.1298
1990-09-30,652.0061728395061,983.8706
1990-10-31,611.1857825567503,736.66156
1990-11-30,488.81172839506166,451.94055
1990-12-31,589.9044205495818,254.14087
1991-01-31,588.0376344086021,161.01707
1991-02-28,558.0357142857143,154.40349
1991-03-31,608.9456391875746,208.64287
1991-04-30,496.9135802469136,256.9784
1991-05-31,574.9701314217443,448.55597
1991-06-30,716.0493827160493,575.96844
1991-07-31,854.9880525686978,844.66724
1991-08-31,903.1511350059735,1160.3408
1991-09-30,601.0802469135803,809.24023
1991-10-31,535.020908,682.1293
1991-11-30,738.8117283950617,442.45453
1991-12-31,343.00328554360806,246.89125
1992-01-31,676.1499402628435,171.25082
1992-02-29,409.881864623244,161.8156
1992-03-31,363.98596176821997,196.13634
1992-04-30,388.8888888888889,366.6104
1992-05-31,554.0621266427718,470.34085
1992-06-30,689.0432098765432,805.3733
1992-07-31,658.9755077658302,1762.347
1992-08-31,629.1069295101554,1136.6263
1992-09-30,393.13271604938274,1119.5981
1992-10-31,229.01732377538826,1048.4103
1992-11-30,498.84259259259267,469.57452
1992-12-31,630.9737157,230.9191
1993-01-31,538.0077658303464,186.2107
1993-02-28,646.9080687830688,184.81378
1993-03-31,507.1311230585424,239.79633
1993-04-30,491.89814814814815,473.99252
