date,flow_{t+1},CER-CNN
1969-02-28,209.9867724867725,213.75368
1969-03-31,252.98685782556748,261.02686
1969-04-30,331.01851851851853,334.7226
1969-05-31,510.0059737156512,600.0066
1969-06-30,650.0771604938273,757.0977
1969-07-31,1130.152329749104,1171.5144
1969-08-31,793.0107526881719,875.0075
1969-09-30,709.104938271605,730.08734
1969-10-31,841.173835125448,826.9295
1969-11-30,381.0185185185185,380.98648
1969-12-31,190.0014934289128,225.81314
1970-01-31,147.9988052568698,180.0267
1970-02-28,145.99867724867724,170.52568
1970-03-31,188.9934289127837,211.73631
1970-04-30,367.01388888888886,341.91895
1970-05-31,558.1690561529272,606.4134
1970-06-30,672.067901234568,730.5145
1970-07-31,726.926523297491,755.29
1970-08-31,1180.1821983273596,1185.3674
1970-09-30,569.0586419753087,617.5707
1970-10-31,614.1726403823178,618.6998
1970-11-30,348.9969135802469,368.0855
1970-12-31,177.00866188769413,205.07738
1971-01-31,139.00089605734766,155.61893
1971-02-28,135.0033068783069,155.93477
1971-03-31,201.0155316606929,230.876
1971-04-30,335.9953703703703,352.33728
1971-05-31,486.857825567503,524.5746
1971-06-30,638.8888888888888,659.6501
1971-07-31,719.8327359617682,764.5194
1971-08-31,638.0675029868578,669.6125
1971-09-30,1329.861111111111,1349.4004
1971-10-31,1799.9551971326161,1755.243
1971-11-30,721.0648148148149,713.4206
1971-12-31,308.9904420549582,305.10373
1972-01-31,214.00836320191158,209.45848
1972-02-29,214.00063856960412,207.45839
1972-03-31,284.98357228195937,268.22003
1972-04-30,440.97222222222223,400.05258
1972-05-31,723.9396654719235,782.5099
1972-06-30,1069.83024691358,1097.5822
1972-07-31,1910.0955794504187,1950.3789
1972-08-31,1059.9611708482676,1057.1301
1972-09-30,775.8487654320987,786.73035
1972-10-31,658.9755077658302,664.2383
1972-11-30,364.00462962962956,380.2314
1972-12-31,213.00029868578244,229.69511
1973-01-31,174.99253285543608,185.12576
1973-02-28,176.00859788359787,185.39737
1973-03-31,227.0011947431302,235.16408
1973-04-30,293.98148148148147,307.32632
1973-05-31,564.1427718040621,638.75806
1973-06-30,1050.1543209876545,1138.6239
1973-07-31,919.9522102747909,956.68713
1973-08-31,897.1774193548385,952.3019
1973-09-30,1020.0617283950618,1060.3778
1973-10-31,1040.1732377538829,1065.4733
1973-11-30,535.8796296296297,534.75757
1973-12-31,246.00507765830343,269.5623
1974-01-31,168.01075268817203,192.86069
1974-02-28,175.01653439153438,191.13132
1974-03-31,219.98207885304657,235.32799
1974-04-30,305.0154320987654,323.24976
1974-05-31,486.857825567503,541.2843
1974-06-30,910.8796296296296,972.2525
1974-07-31,896.0573476702509,967.30457
1974-08-31,999.8506571087216,1018.4823
1974-09-30,1359.9537037037037,1389.7534
1974-10-31,956.1678614097968,964.1226
1974-11-30,589.891975308642,560.5064
1974-12-31,278.0017921146953,288.66324
1975-01-31,178.9874551971326,202.53839
1975-02-28,183.98644179894177,186.92967
1975-03-31,233.9829749103942,241.4089
1975-04-30,316.01080246913585,326.43277
1975-05-31,683.9904420549582,733.60876
1975-06-30,1140.0462962962963,1169.6526
1975-07-31,2230.0627240143367,2183.754
1975-08-31,1829.823775388292,1770.2178
1975-09-30,1689.814814814815,1603.8506
1975-10-31,1960.1254480286736,1848.8497
1975-11-30,881.9444444444445,859.87683
1975-12-31,354.01732377538826,372.64877
1976-01-31,239.99402628434885,237.41379
1976-02-29,242.0178799489144,243.42162
1976-03-31,321.98327359617684,309.84622
1976-04-30,449.84567901234567,476.8711
1976-05-31,636.9474313022699,684.30023
1976-06-30,1170.138888888889,1214.4905
1976-07-31,1469.9074074074072,1491.8906
1976-08-31,1920.1762246117084,1887.6005
1976-09-30,2000.0,1947.6573
1976-10-31,1089.8297491039427,1055.0947
1976-11-30,523.9197530864197,518.5066
1976-12-31,289.98655913978496,291.10925
1977-01-31,214.00836320191158,222.52855
1977-02-28,204.98511904761904,211.36925
1977-03-31,293.01075268817203,307.78375
1977-04-30,606.8672839506173,600.5114
1977-05-31,860.9617682198326,936.3999
1977-06-30,966.820987654321,1055.1306
1977-07-31,800.8512544802867,859.2535
1977-08-31,711.9922341696536,725.9414
1977-09-30,658.9506172839506,650.17554
1977-10-31,539.8745519713261,546.8459
1977-11-30,333.9891975308642,347.51062
1977-12-31,188.9934289127837,202.51779
1978-01-31,127.01612903225806,149.79236
1978-02-28,141.0094246031746,141.30798
1978-03-31,196.01254480286727,212.2813
1978-04-30,467.9783950617284,485.0713
1978-05-31,551.0752688172043,591.2171
1978-06-30,760.0308641975308,816.0034
1978-07-31,568.9964157706094,626.8586
1978-08-31,1070.041816009558,1066.6215
1978-09-30,1760.0308641975307,1734.4955
1978-10-31,1020.0119474313024,1035.9489
1978-11-30,523.9197530864197,519.65063
1978-12-31,256.0110513739546,271.16483
1979-01-31,193.99641577060933,197.7227
1979-02-28,178.98478835978835,201.20546
1979-03-31,220.99014336917563,248.88083
1979-04-30,390.81790123456796,373.42957
1979-05-31,402.8524492234169,466.99353
1979-06-30,466.04938271604937,520.4391
1979-07-31,1109.9910394265232,1142.5619
1979-08-31,1739.8446833930702,1769.4596
1979-09-30,1680.1697530864203,1640.872
1979-10-31,965.1284348864993,973.2484
1979-11-30,440.97222222222223,453.9742
1979-12-31,248.9919354838709,243.0586
1980-01-31,173.98446833930706,187.44753
1980-02-29,172.01468710089398,179.9338
1980-03-31,237.00716845878136,246.48392
1980-04-30,328.0092592592593,318.03107
1980-05-31,362.0071684587813,432.45276
1980-06-30,618.8271604938271,679.6174
1980-07-31,1350.0597371565111,1385.8856
1980-08-31,949.0740740740739,986.46155
1980-09-30,1390.0462962962963,1437.6979
1980-10-31,1130.152329749104,1097.8958
1980-11-30,494.98456790123464,494.76703
1980-12-31,221.99820788530468,244.9599
1981-01-31,173.01373954599762,196.41002
1981-02-28,173.98313492063488,183.03711
1981-03-31,223.00627240143373,234.41136
1981-04-30,341.0108024691358,330.76807
1981-05-31,583.9307048984468,636.15686
1981-06-30,1060.1851851851852,1108.6086
1981-07-31,1640.1583034647551,1659.2794
1981-08-31,1059.9611708482676,1113.8785
1981-09-30,3469.9074074074074,3489.3777
1981-10-31,1680.1075268817203,1649.507
1981-11-30,714.891975308642,698.613
1981-12-31,352.00119474313027,369.5844
1982-01-31,251.00806451612902,260.5706
1982-02-28,250.9920634920635,257.27136
1982-03-31,285.9916367980884,287.12753
1982-04-30,395.8333333333333,388.62848
1982-05-31,850.1344086021505,930.863
1982-06-30,1514.6604938271605,1569.8245
1982-07-31,1749.925328554361,1787.6011
1982-08-31,1059.9611708482676,1078.7931
1982-09-30,1650.0771604938273,1586.6573
1982-10-31,1649.8655913978494,1579.0933
1982-11-30,697.145061728395,682.0798
1982-12-31,326.0155316606929,341.54053
1983-01-31,233.9829749103942,215.46686
1983-02-28,215.9804894179894,195.45583
1983-03-31,251.00806451612902,232.64189
1983-04-30,476.08024691358025,369.60638
1983-05-31,872.1624850657109,859.9235
1983-06-30,1209.8765432098764,1150.5322
1983-07-31,2529.8685782556754,2181.4436
1983-08-31,1789.874551971326,1459.6077
1983-09-30,1099.9228395061727,1194.0792
1983-10-31,1960.1254480286736,1409.3843
1983-11-30,912.8086419753087,694.3036
1983-12-31,579.8237753882916,352.36734
1984-01-31,275.98566308243727,234.81128
1984-02-29,283.0060664112388,227.3774
1984-03-31,326.9862604540023,281.07602
1984-04-30,444.05864197530866,494.95386
1984-05-31,520.0866188769414,685.25104
1984-06-30,1060.1851851851852,1285.2786
1984-07-31,2460.050776583035,2240.4185
1984-08-31,1479.9880525686976,1564.3689
1984-09-30,834.8765432098766,1030.175
1984-10-31,893.0704898446834,948.4449
1984-11-30,520.0617283950618,566.4941
1984-12-31,280.0179211469534,268.31006
1985-01-31,207.997311827957,188.78175
1985-02-28,177.99272486772486,189.25851
1985-03-31,233.9829749103942,283.36856
1985-04-30,356.983024691358,442.74283
1985-05-31,452.1356033452808,712.8567
1985-06-30,665.1234567901233,1065.3391
1985-07-31,1249.9999999999998,1457.3792
