date,flow,R-LSTM
1965-11-30,417.0524691358025,416.9235
1965-12-31,213.0002986857825,194.95561
1966-01-31,173.98446833930706,185.13045
1966-02-28,166.9973544973545,180.76277
1966-03-31,227.00119474313024,242.40668
1966-04-30,310.9953703703704,320.89877
1966-05-31,368.0182198327359,373.3415
1966-06-30,447.91666666666674,450.66885
1966-07-31,1049.8805256869773,1079.2657
1966-08-31,1749.9253285543605,1738.0697
1966-09-30,2010.030864197531,2024.956
1966-10-31,1440.0388291517324,1418.0719
1966-11-30,601.8518518518518,629.4991
1966-12-31,285.9916367980884,299.11417
1967-01-31,206.0185185185185,219.97595
1967-02-28,192.9976851851852,207.92284
1967-03-31,249.7759856630824,264.4188
1967-04-30,347.9938271604938,374.9761
1967-05-31,1109.9910394265232,1093.3014
1967-06-30,1170.138888888889,1170.973
1967-07-31,1969.8327359617683,2019.856
1967-08-31,1649.8655913978494,1653.5332
1967-09-30,2359.953703703704,2372.6416
1967-10-31,1540.0985663082438,1552.3861
1967-11-30,812.1141975308642,769.50214
1967-12-31,353.00925925925924,351.17557
1968-01-31,255.0029868578256,257.553
1968-02-29,229.00702426564496,231.37584
1968-03-31,307.0116487455198,301.52176
1968-04-30,500.0,493.17804
1968-05-31,1189.889486260454,1129.9552
1968-06-30,1160.108024691358,1144.327
1968-07-31,1419.8775388291515,1350.9541
1968-08-31,974.8357228195937,991.4394
1968-09-30,2040.123456790124,2040.8762
1968-10-31,1220.131421744325,1203.1924
1968-11-30,562.8858024691358,564.58093
1968-12-31,315.00149342891274,302.57196
1969-01-31,234.9910394265233,232.5349
1969-02-28,209.98677248677245,214.5469
1969-03-31,252.9868578255675,258.38342
1969-04-30,331.01851851851853,328.95642
1969-05-31,510.0059737156511,481.22003
1969-06-30,650.0771604938273,656.3828
1969-07-31,1130.152329749104,1106.7214
1969-08-31,793.0107526881719,797.22186
1969-09-30,709.104938271605,722.15845
1969-10-31,841.173835125448,816.1517
1969-11-30,381.0185185185185,405.2088
1969-12-31,190.0014934289128,185.62982
1970-01-31,147.9988052568698,142.89456
1970-02-28,145.99867724867724,148.95036
1970-03-31,188.9934289127837,198.24913
1970-04-30,367.0138888888889,377.74106
1970-05-31,558.1690561529272,566.81647
1970-06-30,672.067901234568,689.6013
1970-07-31,726.926523297491,749.6841
1970-08-31,1180.1821983273596,1142.6166
1970-09-30,569.0586419753087,605.3057
1970-10-31,614.1726403823178,604.2395
1970-11-30,348.9969135802469,373.72604
1970-12-31,177.00866188769413,191.19482
1971-01-31,139.00089605734766,141.94456
1971-02-28,135.0033068783069,65.069374
1971-03-31,201.0155316606929,196.95651
1971-04-30,335.9953703703704,353.96774
1971-05-31,486.857825567503,471.2428
1971-06-30,638.8888888888888,648.6485
1971-07-31,719.8327359617682,697.0445
1971-08-31,638.0675029868578,645.40216
1971-09-30,1329.861111111111,1363.7223
1971-10-31,1799.9551971326164,1760.5566
1971-11-30,721.0648148148149,717.53906
1971-12-31,308.9904420549582,300.09033
1972-01-31,214.00836320191164,225.472
1972-02-29,214.0006385696041,219.37257
1972-03-31,284.98357228195937,293.07828
1972-04-30,440.97222222222223,439.66406
1972-05-31,723.9396654719235,726.5023
1972-06-30,1069.83024691358,1049.8502
1972-07-31,1910.0955794504182,1937.6279
1972-08-31,1059.9611708482676,1063.1444
1972-09-30,775.8487654320987,792.74023
1972-10-31,658.9755077658302,645.508
1972-11-30,364.0046296296296,378.32336
1972-12-31,213.0002986857825,222.4363
1973-01-31,174.99253285543608,181.052
1973-02-28,176.00859788359787,179.88487
1973-03-31,227.00119474313024,228.05983
1973-04-30,293.98148148148147,291.7727
1973-05-31,564.1427718040621,558.0056
1973-06-30,1050.1543209876545,1050.168
1973-07-31,919.9522102747908,898.91925
1973-08-31,897.1774193548387,918.5941
1973-09-30,1020.0617283950619,1012.479
1973-10-31,1040.1732377538829,1057.8772
1973-11-30,535.8796296296297,549.67847
1973-12-31,246.00507765830343,259.86102
1974-01-31,168.01075268817203,163.75854
1974-02-28,175.01653439153438,173.9081
1974-03-31,219.98207885304657,226.03949
1974-04-30,305.0154320987654,316.9899
1974-05-31,486.857825567503,508.17877
1974-06-30,910.8796296296296,902.1708
1974-07-31,896.0573476702509,905.7254
1974-08-31,999.8506571087216,1037.2942
1974-09-30,1359.9537037037037,1394.4614
1974-10-31,956.1678614097968,990.13495
1974-11-30,589.891975308642,608.9366
1974-12-31,278.0017921146953,290.15665
1975-01-31,178.9874551971326,189.24667
1975-02-28,183.98644179894177,182.85786
1975-03-31,233.98297491039423,244.49887
1975-04-30,316.01080246913585,330.2553
1975-05-31,683.9904420549582,701.3684
1975-06-30,1140.0462962962963,1171.6493
1975-07-31,2230.0627240143367,2307.4026
1975-08-31,1829.823775388292,1876.2034
1975-09-30,1689.8148148148148,1722.5876
1975-10-31,1960.1254480286736,1987.2833
1975-11-30,881.9444444444445,919.53564
1975-12-31,354.0173237753882,395.12305
1976-01-31,239.9940262843489,267.6148
1976-02-29,242.01787994891444,265.1848
1976-03-31,321.98327359617684,330.12878
1976-04-30,449.8456790123456,457.41638
1976-05-31,636.9474313022699,668.3282
1976-06-30,1170.138888888889,1141.7115
1976-07-31,1469.9074074074072,1516.5087
1976-08-31,1920.1762246117087,1948.8331
1976-09-30,2000.0,1908.607
1976-10-31,1089.8297491039427,1054.3579
1976-11-30,523.9197530864197,559.7124
1976-12-31,289.98655913978496,295.00967
1977-01-31,214.00836320191164,221.17618
1977-02-28,204.98511904761904,207.18698
1977-03-31,293.01075268817203,291.32397
1977-04-30,606.8672839506173,640.43286
1977-05-31,860.9617682198327,873.7836
1977-06-30,966.820987654321,996.9219
1977-07-31,800.8512544802867,843.0206
1977-08-31,711.9922341696536,715.72925
1977-09-30,658.9506172839506,671.0786
1977-10-31,539.8745519713261,554.7327
1977-11-30,333.9891975308642,323.49304
1977-12-31,188.9934289127837,185.08986
1978-01-31,127.01612903225808,134.64346
1978-02-28,141.0094246031746,140.79164
1978-03-31,196.01254480286727,194.29025
1978-04-30,467.9783950617284,490.93045
1978-05-31,551.0752688172043,584.0939
1978-06-30,760.0308641975308,805.5463
1978-07-31,568.9964157706094,617.8444
1978-08-31,1070.041816009558,1132.0001
1978-09-30,1760.030864197531,1823.7284
1978-10-31,1020.0119474313022,1046.9144
1978-11-30,523.9197530864197,550.3436
1978-12-31,256.0110513739546,257.50848
1979-01-31,193.99641577060933,185.51291
1979-02-28,178.98478835978835,173.24469
1979-03-31,220.99014336917563,214.33821
1979-04-30,390.81790123456796,391.16217
1979-05-31,402.85244922341695,418.7253
1979-06-30,466.0493827160494,475.6484
1979-07-31,1109.9910394265232,1157.3622
1979-08-31,1739.8446833930702,1738.1577
1979-09-30,1680.1697530864203,1678.0349
1979-10-31,965.1284348864992,1012.92365
1979-11-30,440.97222222222223,455.48483
1979-12-31,248.99193548387092,239.54718
1980-01-31,173.98446833930706,172.78444
1980-02-29,172.01468710089398,170.22673
1980-03-31,237.0071684587814,227.9315
1980-04-30,328.0092592592593,324.01932
1980-05-31,362.0071684587812,363.90863
1980-06-30,618.8271604938271,636.2467
1980-07-31,1350.0597371565111,1359.6198
1980-08-31,949.0740740740739,999.3245
1980-09-30,1390.0462962962963,1434.6958
1980-10-31,1130.152329749104,1139.3364
1980-11-30,494.9845679012346,513.95953
1980-12-31,221.99820788530462,227.32268
1981-01-31,173.01373954599762,172.20929
1981-02-28,173.98313492063488,176.57227
1981-03-31,223.00627240143368,112.22754
