date,E-XGB
1985-10-31,1194.0023
1985-11-30,597.77325
1985-12-31,279.22467
1986-01-31,251.98358
1986-02-28,239.473
1986-03-31,275.64386
1986-04-30,428.6436
1986-05-31,706.9601
1986-06-30,1151.4847
1986-07-31,1715.6011
1986-08-31,1228.3499
1986-09-30,1433.2874
1986-10-31,1170.508
1986-11-30,388.91672
1986-12-31,299.0544
1987-01-31,233.45139
1987-02-28,217.08388
1987-03-31,202.89986
1987-04-30,289.38916
1987-05-31,470.49072
1987-06-30,958.2455
1987-07-31,1786.171
1987-08-31,1219.5419
1987-09-30,743.3951
1987-10-31,835.3712
1987-11-30,430.4131
1987-12-31,255.62753
1988-01-31,210.39339
1988-02-29,210.14647
1988-03-31,191.23587
1988-04-30,398.235
1988-05-31,716.54144
1988-06-30,912.38074
1988-07-31,1503.0511
1988-08-31,963.9067
1988-09-30,1049.8729
1988-10-31,1737.388
1988-11-30,850.41144
1988-12-31,307.88214
1989-01-31,245.43965
1989-02-28,243.24393
1989-03-31,185.34772
1989-04-30,385.9414
1989-05-31,671.2415
1989-06-30,1141.8528
1989-07-31,1926.9716
1989-08-31,1876.5997
1989-09-30,1847.6211
1989-10-31,1469.9623
1989-11-30,664.1113
1989-12-31,359.35736
1990-01-31,246.76079
1990-02-28,207.2197
1990-03-31,292.24823
1990-04-30,398.08762
1990-05-31,726.21686
1990-06-30,1009.56885
1990-07-31,874.0195
1990-08-31,782.48956
1990-09-30,1262.7578
1990-10-31,1077.681
1990-11-30,515.2177
1990-12-31,282.20142
1991-01-31,253.39711
1991-02-28,238.4707
1991-03-31,250.91115
1991-04-30,366.27017
1991-05-31,684.2356
1991-06-30,849.72125
1991-07-31,1122.905
1991-08-31,995.3831
1991-09-30,1121.6678
1991-10-31,869.7533
1991-11-30,669.7245
1991-12-31,241.10704
1992-01-31,213.8323
1992-02-29,217.12137
1992-03-31,244.59082
1992-04-30,429.5387
1992-05-31,577.5128
1992-06-30,815.7694
1992-07-31,1797.1722
1992-08-31,1719.9608
1992-09-30,1484.5939
1992-10-31,1679.5948
1992-11-30,693.238
1992-12-31,317.81424
1993-01-31,227.7331
1993-02-28,231.65646
1993-03-31,299.1361
1993-04-30,425.10736
1993-05-31,607.75366
1993-06-30,1003.3406
