date,CER-XGB
1989-02-28,174.8565
1989-03-31,281.8173
1989-04-30,387.47867
1989-05-31,844.6335
1989-06-30,2463.9968
1989-07-31,2457.9104
1989-08-31,2015.1268
1989-09-30,1953.0934
1989-10-31,1259.4596
1989-11-30,708.0819
1989-12-31,353.54916
1990-01-31,268.95538
1990-02-28,272.8589
1990-03-31,317.1194
1990-04-30,388.444
1990-05-31,723.91626
1990-06-30,826.05994
1990-07-31,836.13855
1990-08-31,929.6386
1990-09-30,1045.9613
1990-10-31,755.7112
1990-11-30,424.15115
1990-12-31,238.16496
1991-01-31,179.47267
1991-02-28,175.01636
1991-03-31,221.82263
1991-04-30,275.8401
1991-05-31,457.7038
1991-06-30,590.11053
1991-07-31,970.92163
1991-08-31,1272.2831
1991-09-30,827.66473
1991-10-31,752.51465
1991-11-30,446.90247
1991-12-31,244.13573
1992-01-31,189.66183
1992-02-29,177.33575
1992-03-31,206.87846
1992-04-30,373.9518
1992-05-31,478.8985
1992-06-30,826.7582
1992-07-31,1792.6145
1992-08-31,1115.1177
1992-09-30,1094.2291
1992-10-31,1055.712
1992-11-30,448.7176
1992-12-31,238.7474
1993-01-31,202.45227
1993-02-28,193.02966
1993-03-31,253.32758
1993-04-30,479.97937
1993-05-31,742.4045
1993-06-30,993.76935
1993-07-31,1524.2881
1993-08-31,1745.5421
1993-09-30,1174.4113
1993-10-31,880.4772
1993-11-30,470.1772
1993-12-31,235.63904
1994-01-31,190.84036
1994-02-28,183.89764
1994-03-31,230.1368
1994-04-30,485.6315
1994-05-31,659.541
1994-06-30,1174.8401
1994-07-31,1014.4591
1994-08-31,733.0269
1994-09-30,865.94836
1994-10-31,690.20404
1994-11-30,399.457
1994-12-31,202.05228
1995-01-31,184.00063
1995-02-28,183.82622
1995-03-31,186.19472
1995-04-30,397.23572
1995-05-31,807.07935
1995-06-30,616.56433
1995-07-31,659.2089
1995-08-31,1067.929
1995-09-30,1025.8794
1995-10-31,780.51636
1995-11-30,498.67307
1995-12-31,254.84697
1996-01-31,183.06325
1996-02-29,192.35751
1996-03-31,233.45256
1996-04-30,339.72488
1996-05-31,590.46515
1996-06-30,820.10095
1996-07-31,760.31335
1996-08-31,861.8561
1996-09-30,815.5839
1996-10-31,698.53687
1996-11-30,425.16534
1996-12-31,215.43028
1997-01-31,178.69351
1997-02-28,169.76653
1997-03-31,208.93382
1997-04-30,329.3027
1997-05-31,819.5357
1997-06-30,813.07104
1997-07-31,908.3012
1997-08-31,747.84674
1997-09-30,509.55762
1997-10-31,523.41907
1997-11-30,345.0182
1997-12-31,204.86168
1998-01-31,177.5277
1998-02-28,176.31226
1998-03-31,194.51056
1998-04-30,429.58197
1998-05-31,627.23944
1998-06-30,621.61414
1998-07-31,1070.6951
1998-08-31,1330.2347
1998-09-30,1261.4753
1998-10-31,933.3398
1998-11-30,528.38336
1998-12-31,258.5573
1999-01-31,190.96616
1999-02-28,211.70961
1999-03-31,260.22488
1999-04-30,339.68982
1999-05-31,406.4953
1999-06-30,1549.1646
1999-07-31,2489.2334
1999-08-31,1459.6034
1999-09-30,855.246
1999-10-31,1164.0225
1999-11-30,635.43994
1999-12-31,274.13788
2000-01-31,207.61522
2000-02-29,196.26866
2000-03-31,243.94046
2000-04-30,406.3192
2000-05-31,441.14178
2000-06-30,1036.2561
2000-07-31,891.08484
2000-08-31,812.7986
2000-09-30,811.3588
2000-10-31,723.00256
2000-11-30,434.16052
2000-12-31,210.6345
2001-01-31,176.61414
2001-02-28,174.38954
2001-03-31,191.41478
2001-04-30,332.7764
2001-05-31,486.35144
2001-06-30,841.4926
2001-07-31,690.89056
2001-08-31,624.61865
2001-09-30,777.6995
2001-10-31,882.9625
2001-11-30,433.36273
2001-12-31,228.40392
2002-01-31,182.64543
2002-02-28,174.73334
2002-03-31,194.84554
2002-04-30,266.71198
2002-05-31,342.69608
2002-06-30,837.29675
2002-07-31,906.4395
2002-08-31,616.38727
2002-09-30,539.51324
2002-10-31,435.4599
2002-11-30,256.1538
2002-12-31,199.66719
2003-01-31,176.24295
2003-02-28,178.40512
2003-03-31,183.69312
2003-04-30,248.96527
2003-05-31,414.55548
2003-06-30,642.5233
2003-07-31,929.1711
2003-08-31,1331.8558
2003-09-30,1555.9257
2003-10-31,1056.4423
2003-11-30,492.05817
2003-12-31,242.43454
2004-01-31,197.337
2004-02-29,188.3394
2004-03-31,243.92795
2004-04-30,269.3917
2004-05-31,344.52838
2004-06-30,679.1282
2004-07-31,815.1336
2004-08-31,953.94714
2004-09-30,1119.9833
2004-10-31,910.3441
2004-11-30,477.79358
2004-12-31,238.22766
2005-01-31,192.28299
2005-02-28,192.25003
2005-03-31,223.9245
2005-04-30,355.98334
2005-05-31,627.9432
2005-06-30,854.2005
2005-07-31,2003.7683
2005-08-31,1682.0543
2005-09-30,1430.8721
2005-10-31,1770.7949
2005-11-30,661.4934
2005-12-31,328.16647
2006-01-31,248.04123
2006-02-28,241.57324
2006-03-31,258.21274
2006-04-30,346.42307
2006-05-31,399.8698
2006-06-30,633.503
2006-07-31,950.89307
2006-08-31,819.37103
2006-09-30,865.78217
2006-10-31,873.4235
2006-11-30,427.77567
2006-12-31,238.30911
2007-01-31,180.46938
2007-02-28,170.91313
2007-03-31,222.93364
2007-04-30,307.76117
2007-05-31,349.31335
2007-06-30,1230.8766
2007-07-31,1623.7645
2007-08-31,915.8068
2007-09-30,1163.422
2007-10-31,913.32214
2007-11-30,525.1268
2007-12-31,261.87314
2008-01-31,211.49718
2008-02-29,206.34802
2008-03-31,257.5797
2008-04-30,408.97562
2008-05-31,406.37546
2008-06-30,486.2553
