date,R-XGB
1982-02-28,249.21489
1982-03-31,285.32397
1982-04-30,388.80527
1982-05-31,855.36523
1982-06-30,1510.1788
1982-07-31,1767.4602
1982-08-31,1060.6616
1982-09-30,1654.4746
1982-10-31,1653.867
1982-11-30,699.01794
1982-12-31,340.10294
1983-01-31,234.00246
1983-02-28,214.03592
1983-03-31,251.40492
1983-04-30,471.1431
1983-05-31,873.90875
1983-06-30,1244.8906
1983-07-31,2467.0479
1983-08-31,1788.8759
1983-09-30,1110.4773
1983-10-31,1956.3246
1983-11-30,910.91473
1983-12-31,511.3981
1984-01-31,268.50937
1984-02-29,277.65482
1984-03-31,319.05508
1984-04-30,443.17258
1984-05-31,516.4336
1984-06-30,1070.4357
1984-07-31,2441.6375
1984-08-31,1486.8615
1984-09-30,835.8058
1984-10-31,895.44403
1984-11-30,518.6649
1984-12-31,282.709
1985-01-31,204.51189
1985-02-28,180.41516
1985-03-31,233.46234
1985-04-30,355.2585
1985-05-31,454.01547
1985-06-30,664.30927
1985-07-31,1246.6571
1985-08-31,1011.9542
1985-09-30,2413.8367
1985-10-31,1169.9353
1985-11-30,506.67996
1985-12-31,269.5035
1986-01-31,192.99794
1986-02-28,191.51407
1986-03-31,249.68504
1986-04-30,362.75595
1986-05-31,853.0361
1986-06-30,1135.9952
1986-07-31,1744.9551
1986-08-31,750.20483
1986-09-30,1119.0369
1986-10-31,603.38495
1986-11-30,348.8287
1986-12-31,219.75745
1987-01-31,147.5232
1987-02-28,172.55563
1987-03-31,210.1607
1987-04-30,264.2474
1987-05-31,527.6221
1987-06-30,1152.192
1987-07-31,1776.2742
1987-08-31,1040.3097
1987-09-30,674.2932
1987-10-31,583.7066
1987-11-30,347.5812
1987-12-31,189.42206
1988-01-31,151.67648
1988-02-29,155.81946
1988-03-31,230.79349
1988-04-30,353.0918
1988-05-31,438.20364
1988-06-30,793.8559
1988-07-31,916.7093
1988-08-31,585.2979
1988-09-30,807.4567
1988-10-31,1352.4685
1988-11-30,658.79266
1988-12-31,273.23685
1989-01-31,172.51352
1989-02-28,169.80664
1989-03-31,274.76556
