date,flow_{t+1},E-CNN
1979-08-31,1739.8446833930702,1624.8608
1979-09-30,1680.1697530864203,1652.1945
1979-10-31,965.1284348864993,1025.4102
1979-11-30,440.97222222222223,470.34274
1979-12-31,248.9919354838709,292.92682
1980-01-31,173.98446833930706,245.74617
1980-02-29,172.01468710089398,236.95094
1980-03-31,237.00716845878136,291.63647
1980-04-30,328.0092592592593,334.8839
1980-05-31,362.0071684587813,368.65237
1980-06-30,618.8271604938271,713.6561
1980-07-31,1350.0597371565111,1381.8973
1980-08-31,949.0740740740739,949.4404
1980-09-30,1390.0462962962963,1450.2345
1980-10-31,1130.152329749104,1257.8406
1980-11-30,494.98456790123464,632.1512
1980-12-31,221.99820788530468,311.24744
1981-01-31,173.01373954599762,252.38579
1981-02-28,173.98313492063488,260.83072
1981-03-31,223.00627240143373,288.24722
1981-04-30,341.0108024691358,367.19922
1981-05-31,583.9307048984468,495.5751
1981-06-30,1060.1851851851852,1120.2642
1981-07-31,1640.1583034647551,1584.541
1981-08-31,1059.9611708482676,1049.2468
1981-09-30,3469.9074074074074,3368.2324
1981-10-31,1680.1075268817203,1664.2582
1981-11-30,714.891975308642,710.8065
1981-12-31,352.00119474313027,332.69406
1982-01-31,251.00806451612902,285.2318
1982-02-28,250.9920634920635,278.87952
1982-03-31,285.9916367980884,313.3049
1982-04-30,395.8333333333333,397.9221
1982-05-31,850.1344086021505,710.8497
1982-06-30,1514.6604938271605,1375.2509
1982-07-31,1749.925328554361,1757.1813
1982-08-31,1059.9611708482676,1005.57635
1982-09-30,1650.0771604938273,1655.4586
1982-10-31,1649.8655913978494,1667.0974
1982-11-30,697.145061728395,691.906
1982-12-31,326.0155316606929,322.8923
1983-01-31,233.9829749103942,293.54132
1983-02-28,215.9804894179894,278.05255
1983-03-31,251.00806451612902,297.85233
1983-04-30,476.08024691358025,355.79843
1983-05-31,872.1624850657109,603.71344
1983-06-30,1209.8765432098764,685.3632
1983-07-31,2529.8685782556754,1640.7638
1983-08-31,1789.874551971326,1463.906
1983-09-30,1099.9228395061727,754.22565
1983-10-31,1960.1254480286736,1248.0159
1983-11-30,912.8086419753087,691.4106
1983-12-31,579.8237753882916,327.36542
1984-01-31,275.98566308243727,289.48535
1984-02-29,283.0060664112388,272.30972
1984-03-31,326.9862604540023,325.27002
1984-04-30,444.05864197530866,440.0603
1984-05-31,520.0866188769414,691.35736
1984-06-30,1060.1851851851852,1065.966
1984-07-31,2460.050776583035,1974.5323
1984-08-31,1479.9880525686976,2068.0615
1984-09-30,834.8765432098766,800.70996
1984-10-31,893.0704898446834,1156.832
1984-11-30,520.0617283950618,656.82477
1984-12-31,280.0179211469534,330.44983
1985-01-31,207.997311827957,245.28336
1985-02-28,177.99272486772486,289.9016
1985-03-31,233.9829749103942,330.3805
1985-04-30,356.983024691358,524.81067
1985-05-31,452.1356033452808,855.9404
1985-06-30,665.1234567901233,977.9568
1985-07-31,1249.9999999999998,1634.7338
1985-08-31,980.0627240143368,1867.9893
1985-09-30,2449.845679012345,2279.8867
1985-10-31,1170.1015531660694,1404.6632
1985-11-30,508.87345679012344,671.41876
1985-12-31,270.98267622461174,315.54898
1986-01-31,205.01045400238948,308.30826
1986-02-28,192.00562169312167,283.40356
1986-03-31,238.98596176821985,348.936
1986-04-30,356.983024691358,615.9933
1986-05-31,829.9731182795699,829.8177
1986-06-30,1109.9537037037037,1075.7223
1986-07-31,1680.1075268817203,1738.8025
1986-08-31,719.8327359617682,974.4202
1986-09-30,1060.1851851851852,1203.361
1986-10-31,369.99701314217435,992.7753
1986-11-30,311.50327932098764,460.74774
1986-12-31,184.44941009557945,293.49408
1987-01-31,122.40882616487457,263.99435
1987-02-28,344.99007936507934,288.81335
1987-03-31,627.9868578255675,309.21246
1987-04-30,373.9969135802469,434.2532
1987-05-31,433.09438470728793,653.46936
1987-06-30,587.5771604938271,548.9103
1987-07-31,816.1589008363202,1465.2886
1987-08-31,619.0262843488649,1007.2647
1987-09-30,318.016975308642,717.68976
1987-10-31,244.99701314217444,706.0249
1987-11-30,233.9891975308642,443.9163
1987-12-31,417.0400238948626,305.3803
1988-01-31,332.997311827957,262.91446
1988-02-29,429.83716475095787,290.14072
1988-03-31,502.9121863799283,313.07697
1988-04-30,348.9969135802469,416.18036
1988-05-31,443.17502986857824,976.7431
1988-06-30,834.104938271605,1001.0693
1988-07-31,701.9115890083632,884.2516
1988-08-31,1780.1672640382317,1060.6127
1988-09-30,616.8981481481482,722.72833
1988-10-31,620.1463560334528,1308.26
1988-11-30,567.1296296296297,1168.768
1988-12-31,536.1409796893668,377.18408
1989-01-31,666.0692951015532,318.11176
1989-02-28,467.09656084656086,341.35428
1989-03-31,477.1505376344086,367.02798
1989-04-30,451.00308641975306,614.48755
1989-05-31,672.0430107526881,716.388
1989-06-30,711.033950617284,1437.9642
1989-07-31,918.8321385902032,891.36566
1989-08-31,710.8721624850657,773.44165
1989-09-30,1706.4043209876545,773.44165
1989-10-31,760.1553166069295,709.09
1989-11-30,528.9351851851852,459.24084
1989-12-31,452.8823178016726,485.30386
1990-01-31,635.0806451612904,179.45567
1990-02-28,660.135582010582,445.93115
1990-03-31,679.8835125448029,615.32886
1990-04-30,662.8086419753087,829.0181
1990-05-31,1040.1732377538829,797.3213
1990-06-30,900.8487654320988,773.44165
1990-07-31,710.1254480286739,2093.0288
1990-08-31,618.279569892473,1506.8816
1990-09-30,638.8888888888888,1942.2137
1990-10-31,586.1708482676224,1386.7573
1990-11-30,520.0617283950618,707.26984
1990-12-31,617.1594982078853,335.0506
1991-01-31,604.0919952210274,288.81973
1991-02-28,574.156746031746,299.03915
1991-03-31,614.1726403823178,322.76257
1991-04-30,518.1327160493827,369.56653
1991-05-31,582.0639187574671,591.3222
1991-06-30,724.1512345679013,880.31287
1991-07-31,823.9994026284348,1410.9495
1991-08-31,869.9223416965351,1160.3635
1991-09-30,579.0895061728395,1710.3679
1991-10-31,552.942054958184,1383.0618
1991-11-30,731.0956790123457,823.99365
1991-12-31,341.9952210274791,328.31305
1992-01-31,678.0167264038232,298.11633
1992-02-29,399.90421455938696,275.52893
1992-03-31,359.9910394265233,307.0596
1992-04-30,400.07716049382714,469.09174
1992-05-31,548.8351254480286,735.79425
1992-06-30,710.6481481481483,1243.3424
1992-07-31,616.0394265232975,2063.9253
1992-08-31,582.0639187574671,1793.7109
1992-09-30,368.9814814814815,1537.5198
1992-10-31,241.0020908004779,1274.2177
1992-11-30,542.824074074074,669.1902
1992-12-31,691.8309438470728,315.47842
1993-01-31,551.0752688172043,270.61917
1993-02-28,644.0145502645503,278.75214
1993-03-31,508.1391875746714,347.19778
1993-04-30,506.94444444444446,555.8341
1993-05-31,598.1182795698925,748.2223
1993-06-30,734.9537037037037,1184.3229
1993-07-31,686.9772998805256,1751.6594
1993-08-31,745.9677419354839,1774.4471
1993-09-30,804.0123456790124,1372.3053
1993-10-31,611.9324970131422,1161.5023
1993-11-30,592.9783950617284,560.0674
1993-12-31,595.1314217443249,319.6263
1994-01-31,651.1350059737157,252.80606
1994-02-28,689.0707671957673,289.55646
1994-03-31,729.9133811230586,323.41025
1994-04-30,643.9043209876544,574.88477
1994-05-31,894.937275985663,1044.7267
1994-06-30,724.9228395061729,1299.2046
1994-07-31,583.9307048984468,1789.7823
1994-08-31,734.0203106332139,1817.4381
1994-09-30,663.966049382716,1546.7765
1994-10-31,632.0937873357228,1233.3951
1994-11-30,599.9228395061729,908.5177
1994-12-31,703.0316606929509,334.67346
1995-01-31,704.8984468339307,311.37775
1995-02-28,689.8974867724869,331.134
1995-03-31,636.9474313022699,360.91504
1995-04-30,430.1697530864198,649.09784
1995-05-31,589.15770609319,1149.6874
1995-06-30,750.0000000000001,1007.5404
1995-07-31,716.0991636798088,773.44165
1995-08-31,533.9008363201912,1489.7882
1995-09-30,609.9537037037037,1188.1755
1995-10-31,655.9886499402628,803.38544
1995-11-30,621.9135802469136,646.76434
1995-12-31,344.0113500597371,323.9055
1996-01-31,464.8297491039426,329.3236
1996-02-29,502.0753512132823,332.81882
1996-03-31,455.86917562724017,415.6658
1996-04-30,330.0154320987654,740.25055
1996-05-31,529.0471923536439,1097.1007
1996-06-30,520.8333333333334,1146.4774
1996-07-31,666.0692951015532,1427.746
1996-08-31,661.9623655913979,1825.7928
1996-09-30,582.175925925926,1146.6267
1996-10-31,378.9575866188769,1040.8413
1996-11-30,461.033950617284,706.0253
1996-12-31,486.857825567503,337.44656
1997-01-31,406.9593787335723,337.52283
1997-02-28,391.98908730158723,353.39603
1997-03-31,275.01493428912784,447.3183
1997-04-30,339.0046296296297,701.1666
1997-05-31,455.12246117084834,874.23224
1997-06-30,667.0524691358024,1273.553
1997-07-31,527.9271206690562,1944.3037
1997-08-31,293.98148148148147,1463.8129
1997-09-30,474.92283950617286,1396.6124
1997-10-31,620.1463560334528,1114.8289
1997-11-30,532.0216049382716,672.8723
1997-12-31,424.1338112305855,322.9212
1998-01-31,387.9181600955794,268.11996
1998-02-28,342.01388888888886,307.32028
1998-03-31,331.989247311828,332.02844
1998-04-30,291.0108024691358,551.24774
1998-05-31,363.01523297491036,673.90594
1998-06-30,582.9475308641976,1055.8641
1998-07-31,390.905017921147,1543.3031
1998-08-31,417.0400238948626,1609.104
1998-09-30,481.86728395061726,1971.1515
1998-10-31,529.0471923536439,1341.1681
1998-11-30,498.070987654321,669.09485
1998-12-31,501.04540023894856,326.63654
1999-01-31,492.4193548387097,265.94513
1999-02-28,536.9642857142857,271.10107
1999-03-31,557.9032258064516,330.9884
1999-04-30,556.7333333333333,558.9201
1999-05-31,532.0967741935484,694.9546
1999-06-30,629.7666666666667,1167.7894
1999-07-31,574.7096774193549,2068.3362
1999-08-31,535.1612903225806,1477.597
1999-09-30,616.1666666666666,786.79974
1999-10-31,563.5483870967741,665.5629
1999-11-30,571.0333333333333,522.49475
1999-12-31,579.6129032258065,316.56522
2000-01-31,620.5483870967743,237.52275
2000-02-29,571.5862068965517,296.18503
2000-03-31,515.0,315.70697
2000-04-30,650.8,555.0278
2000-05-31,622.2903225806451,701.7351
2000-06-30,532.7333333333333,1060.0214
2000-07-31,587.0645161290323,1574.8918
2000-08-31,576.0967741935484,1251.5358
2000-09-30,443.5,1362.6298
2000-10-31,552.4193548387096,950.39703
2000-11-30,586.0666666666667,642.2827
2000-12-31,490.03225806451616,333.88318
2001-01-31,401.4516129032258,277.20038
2001-02-28,454.3928571428572,292.63162
2001-03-31,414.3548387096774,325.4075
2001-04-30,404.8333333333333,535.64435
2001-05-31,537.4516129032259,672.7378
2001-06-30,543.7666666666667,1126.276
2001-07-31,549.1290322580645,1662.6552
2001-08-31,578.483870967742,1048.6891
2001-09-30,449.23333333333335,1311.4231
2001-10-31,385.61290322580646,2087.9744
2001-11-30,620.5333333333333,1038.7865
2001-12-31,583.0,335.12857
2002-01-31,357.9677419354839,290.14856
2002-02-28,323.07142857142856,272.3899
2002-03-31,424.5161290322581,315.17468
2002-04-30,465.49999999999994,368.7506
2002-05-31,489.741935483871,589.00024
2002-06-30,366.33333333333326,898.1844
2002-07-31,468.58064516129025,1573.7935
2002-08-31,521.3548387096774,1060.93
2002-09-30,496.1666666666667,972.3254
2002-10-31,720.0967741935483,823.3043
2002-11-30,608.1333333333333,545.97156
2002-12-31,461.6774193548388,314.8661
2003-01-31,318.4258064516129,250.34999
2003-02-28,184.1107142857143,279.13242
2003-03-31,214.9032258064516,297.76505
2003-04-30,362.6333333333334,327.40524
2003-05-31,358.03225806451616,578.52405
2003-06-30,392.8,1014.41547
2003-07-31,433.5161290322581,1059.9961
2003-08-31,288.51612903225805,1193.2354
2003-09-30,360.9333333333332,1482.2655
2003-10-31,371.8387096774193,1551.7233
2003-11-30,456.73333333333335,713.86664
2003-12-31,381.0645161290322,315.1686
2004-01-31,404.7096774193548,282.54092
2004-02-29,466.96551724137936,277.20755
2004-03-31,484.8709677419355,306.19894
2004-04-30,437.00000000000006,379.17822
2004-05-31,451.74193548387103,545.2307
2004-06-30,546.8,900.8676
2004-07-31,455.8064516129032,1177.5184
2004-08-31,429.741935483871,1017.69653
2004-09-30,397.6333333333333,1933.1952
2004-10-31,476.7096774193548,1678.028
2004-11-30,468.3666666666667,734.2715
2004-12-31,469.9032258064516,315.92032
2005-01-31,487.7741935483871,286.76678
2005-02-28,360.2857142857142,268.3248
2005-03-31,446.48387096774195,318.85068
2005-04-30,486.3333333333333,429.60077
2005-05-31,510.51612903225805,708.4139
2005-06-30,492.06666666666666,1091.7996
2005-07-31,505.5806451612903,2265.71
2005-08-31,490.5161290322581,1453.4937
2005-09-30,517.4,1248.0168
2005-10-31,699.9032258064516,1237.3047
2005-11-30,542.0,637.3509
2005-12-31,509.1290322580645,324.46948
2006-01-31,413.96774193548384,248.79996
2006-02-28,425.3928571428572,331.51633
2006-03-31,656.483870967742,352.41888
2006-04-30,881.7666666666667,528.8647
2006-05-31,901.1612903225807,1003.82733
2006-06-30,738.6333333333333,1294.2727
2006-07-31,832.7096774193549,1974.0807
2006-08-31,588.2258064516129,1443.6708
2006-09-30,454.03333333333336,1527.5634
2006-10-31,482.0967741935484,1398.436
2006-11-30,487.6333333333333,660.37744
2006-12-31,470.87096774193543,329.4407
2007-01-31,479.99999999999994,284.92236
2007-02-28,496.49999999999994,270.12006
2007-03-31,518.9354838709677,325.7544
2007-04-30,635.2666666666667,364.8989
2007-05-31,687.1612903225807,495.63065
2007-06-30,798.0999999999999,760.0996
2007-07-31,624.9677419354838,1215.259
2007-08-31,771.8387096774194,1117.5013
2007-09-30,742.0333333333333,1020.27356
2007-10-31,436.4516129032258,850.6684
2007-11-30,447.4666666666666,438.74908
2007-12-31,471.774193548387,293.5448
2008-01-31,483.7096774193548,264.10294
2008-02-29,502.0,291.18268
2008-03-31,449.3225806451613,311.2009
2008-04-30,672.7,726.60443
2008-05-31,781.9032258064515,637.7666
2008-06-30,922.0666666666668,910.60944
2008-07-31,753.4838709677418,1742.6154
2008-08-31,768.0000000000001,1711.273
2008-09-30,591.5,1780.7401
2008-10-31,430.48387096774206,1674.206
2008-11-30,477.9333333333333,714.05505
2008-12-31,407.3225806451612,327.8791
2009-01-31,541.258064516129,283.0256
2009-02-28,585.5714285714286,272.1646
2009-03-31,534.6012903225807,333.1007
2009-04-30,898.5,460.60727
2009-05-31,890.741935483871,863.7264
2009-06-30,830.1,1153.7944
2009-07-31,594.0645161290323,2087.932
2009-08-31,621.0322580645162,1466.5872
