date,flow_{t+1},CER-CNN
1966-07-31,1040.1732377538829,1066.0536
1966-08-31,1780.1672640382317,1777.2363
1966-09-30,2060.185185185185,2083.8604
1966-10-31,1469.9074074074072,1429.9724
1966-11-30,635.0308641975308,604.1387
1966-12-31,325.0074671445639,302.59894
1967-01-31,243.9889486260454,251.06587
1967-02-28,218.0059523809524,239.14021
1967-03-31,270.98267622461174,289.60556
1967-04-30,369.9845679012346,380.02277
1967-05-31,1160.020908004779,1111.8115
1967-06-30,1219.9074074074074,1147.843
1967-07-31,2113.575268817204,2103.4463
1967-08-31,1699.8954599761048,1657.5558
1967-09-30,2550.154320987654,2573.7231
1967-10-31,1630.077658303465,1622.6702
1967-11-30,841.0493827160494,815.7827
1967-12-31,386.05137395459974,384.7825
1968-01-31,286.9997013142174,266.02344
1968-02-29,253.9910600255428,259.4242
1968-03-31,317.9883512544803,306.4193
1968-04-30,496.9135802469136,489.7207
1968-05-31,1189.889486260454,1178.7646
1968-06-30,1130.0154320987654,1127.5608
1968-07-31,1440.0388291517324,1457.5115
1968-08-31,1020.0119474313022,997.3304
1968-09-30,2069.830247,2119.7466
1968-10-31,1319.8178016726404,1313.5452
1968-11-30,677.8549383,676.28345
1968-12-31,378.9575866188769,359.31396
1969-01-31,261.9847670250896,238.67162
1969-02-28,251.98412700000003,239.29735
1969-03-31,294.9895459976105,278.60815
1969-04-30,375.0000000000001,403.78476
1969-05-31,548.8351254480286,577.9049
1969-06-30,689.8148148148148,689.70953
1969-07-31,1149.9402628434889,1115.4185
1969-08-31,881.8697729988053,908.81537
1969-09-30,768.1327160493827,769.2777
1969-10-31,896.057347670251,873.63556
1969-11-30,437.11419753086426,430.52847
1969-12-31,218.0032855436081,237.7284
1970-01-31,183.99044205495807,208.77599
1970-02-28,159.01951058201058,198.54861
1970-03-31,200.00746714456392,245.87431
1970-04-30,380.0154320987655,394.53726
1970-05-31,594.0113500597372,591.59265
1970-06-30,714.1203703703704,689.4195
1970-07-31,731.0334528076463,723.307
1970-08-31,1229.8387096774193,1181.2021
1970-09-30,599.9228395061729,600.7001
1970-10-31,645.1612903225806,668.9908
1970-11-30,372.9938271604938,373.9384
1970-12-31,186.00657108721623,214.95251
1971-01-31,183.24372759856632,176.19261
1971-02-28,156.00198412698413,156.238
1971-03-31,201.0155316606929,228.87524
1971-04-30,315.0077160493827,323.63757
1971-05-31,477.8972520908004,481.9191
1971-06-30,618.8271604938271,591.75616
1971-07-31,714.979092,728.18854
1971-08-31,614.9193548387096,659.73004
1971-09-30,1369.9845679012346,1444.698
1971-10-31,1870.1463560334528,1879.6775
1971-11-30,755.0154320987655,731.8568
1971-12-31,303.0167264038232,284.69904
1972-01-31,220.99014336917563,228.44795
1972-02-29,212.00510855683268,219.3552
1972-03-31,280.98864994026286,259.74088
1972-04-30,440.2006172839505,400.64786
1972-05-31,742.9808841099162,713.65076
1972-06-30,1060.1851851851852,1038.964
1972-07-31,1929.8835125448031,1925.7389
1972-08-31,1130.152329749104,1132.7114
1972-09-30,814.8148148148148,791.96014
1972-10-31,652.6284348864993,671.8533
1972-11-30,378.00925925925924,383.4236
1972-12-31,215.01642771804063,232.44025
1973-01-31,174.99253285543608,197.64459
1973-02-28,178.98478835978835,190.31908
1973-03-31,219.01135005973723,239.64676
1973-04-30,279.0123456790124,306.4112
1973-05-31,561.9026284348865,539.5429
1973-06-30,1000.0,1003.8808
1973-07-31,953.9277180406212,936.59015
1973-08-31,928.1660692951016,911.2271
1973-09-30,1069.830247,1122.7714
1973-10-31,1070.041816009558,1147.8956
1973-11-30,548.9969135802469,601.57086
1973-12-31,256.0110513739546,267.27884
1974-01-31,167.0026882,206.97005
1974-02-28,181.0102513227513,215.73854
1974-03-31,227.00119474313018,241.58801
1974-04-30,325.0,360.299
1974-05-31,489.09796893667857,518.00726
1974-06-30,917.0524691358024,931.50696
1974-07-31,897.9241338112306,928.7827
1974-08-31,1040.1732377538829,1044.9851
1974-09-30,1349.9228395061727,1379.8047
1974-10-31,999.8506571087216,1045.354
1974-11-30,636.1882716049382,630.7393
1974-12-31,284.98357228195937,282.86414
1975-01-31,192.98835125448028,221.054
1975-02-28,192.9976851851852,217.41872
1975-03-31,242.01015531660693,266.02835
1975-04-30,301.00308641975306,344.24884
1975-05-31,679.8835125448029,678.107
1975-06-30,1140.0462962962963,1140.8613
1975-07-31,2280.0925925925926,2246.3032
1975-08-31,1929.8835125448031,1858.4772
1975-09-30,1729.9382716049383,1790.7843
1975-10-31,2010.155316606929,2079.5496
1975-11-30,949.0740741,957.61725
1975-12-31,372.0131421744325,380.93777
1976-01-31,271.9907407407408,263.4749
1976-02-29,279.01500638569604,262.17776
1976-03-31,329.0023894862604,339.59225
1976-04-30,451.3888888888889,439.04028
1976-05-31,654.8685782556751,677.1323
1976-06-30,1199.8456790123455,1157.6625
1976-07-31,1519.937275985663,1513.4004
1976-08-31,2060.185185185185,2027.2128
1976-09-30,2150.077160493828,2110.0317
1976-10-31,1120.0716845878137,1100.3236
1976-11-30,586.0339506,577.4055
1976-12-31,315.00149342891274,317.96387
1977-01-31,228.0092592592593,243.79956
1977-02-28,219.9900793650794,235.53413
