YQ,natural_flow,VIF_MLR,VIF_LSTM,VIF_LSTM_MLR,VIF_XGB,VIF_BILSTM,VIF_CNN,CER-XGB,CER-LSTM,CER-BILSTM,CER-CNN,CER-MLR,CER-BiLSTM
1993-1,525,478.9420992894017,458.4194933333333,490.81006,476.30236,482.87464,462.4725866666667,476.30235999999996,458.4194933333333,482.87464,462.4725866666667,478.9420992894017,482.87464
1993-2,1346,1370.4728693001143,1346.9579,1353.0036333333337,1373.0572333333332,1360.89282,1486.8623666666665,1373.0572333333332,1346.9579,1360.89282,1486.8623666666665,1370.4728693001143,1360.89282
1993-3,779,801.3641052101506,823.5442466666667,816.8150133333334,780.8026799999999,815.3064533333333,799.3912666666666,780.8026799999999,823.5442466666667,815.3064533333333,799.3912666666666,801.3641052101506,815.3064533333333
1993-4,216,184.776018537778,183.01890333333336,178.97921327526095,179.87450666666666,194.54875,211.75281333333336,179.87450666666666,183.01890333333336,194.54875,211.75281333333336,184.77601853777801,194.54875
1994-1,520,435.555164766331,448.6955466666666,454.51281333333327,438.1569166666666,453.15732333333335,617.8596266666667,438.15691666666663,448.69554666666664,453.15732333333335,617.8596266666667,435.555164766331,453.15732333333335
1994-2,927,960.853670493218,927.53512,945.0026766666666,952.8876333333334,946.6460566666668,1366.1439666666663,952.8876333333334,927.53512,946.6460566666668,1366.1439666666665,960.8536704932179,946.6460566666668
1994-3,540,588.9824103954571,566.4523233333333,594.2749533333333,592.80686,587.6255333333334,845.0605233333334,592.80686,566.4523233333333,587.6255333333334,845.0605233333334,588.9824103954571,587.6255333333334
1994-4,238,174.76133752258025,167.33442666666667,181.61519806289448,187.36403333333337,184.4693633333333,175.26269000000002,187.36403333333337,167.33442666666667,184.4693633333333,175.26269000000002,174.76133752258025,184.46936333333335
1995-1,461,415.4284603448903,431.28820666666667,422.603381476242,433.94925,449.26354,584.8131533333334,433.94924999999995,431.28820666666667,449.26354,584.8131533333334,415.4284603448903,449.26354
1995-2,724,738.8297152398985,706.0890033333334,719.3978533333333,743.1078000000001,707.9891766666666,1207.9775666666667,743.1078000000001,706.0890033333334,707.9891766666666,1207.9775666666667,738.8297152398985,707.9891766666666
1995-3,761,741.8317930722848,728.1855666666667,760.661,699.6396033333334,754.6851133333333,801.5120400000001,699.6396033333334,728.1855666666667,754.6851133333333,801.5120400000001,741.8317930722848,754.6851133333333
1995-4,186,173.700293944922,170.67927,168.39599577624918,173.12973666666667,184.47431666666668,177.72312,173.12973666666667,170.67927,184.47431666666668,177.72312,173.700293944922,184.47431666666668
1996-1,407,360.2873338671156,387.4220766666667,387.1197366666667,370.01182666666665,388.36783,549.4830666666667,370.01182666666665,387.4220766666667,388.36783,549.4830666666667,360.2873338671156,388.36782999999997
1996-2,795,766.6550136594939,727.4816,744.9176699999999,790.2177,744.9501866666666,1262.7553333333333,790.2177,727.4816,744.9501866666666,1262.7553333333333,766.6550136594939,744.9501866666666
1996-3,543,573.8200558717581,562.66541,594.09362,625.2420366666666,589.2473133333334,691.1374866666666,625.2420366666666,562.66541,589.2473133333334,691.1374866666666,573.8200558717581,589.2473133333334
1996-4,186,161.91113611775862,150.21713,162.8708510952757,166.47516666666667,170.59275333333332,173.84918666666667,166.47516666666667,150.21713,170.59275333333332,173.84918666666667,161.91113611775862,170.59275333333332
1997-1,475,433.606090677032,427.6525266666667,460.8419633333333,437.35944,450.0153433333333,536.3754833333334,437.35944,427.6525266666667,450.0153433333333,536.3754833333334,433.606090677032,450.0153433333333
1997-2,855,774.2579556922977,754.1616533333332,748.0977566666667,792.1710666666667,762.9835333333334,1134.75588,792.1710666666667,754.1616533333332,762.9835333333334,1134.75588,774.2579556922977,762.9835333333334
1997-3,440,481.25231499472585,470.1250866666667,479.42822,452.3657166666667,486.6675666666667,559.8015666666666,452.3657166666667,470.1250866666667,486.6675666666667,559.8015666666666,481.25231499472585,486.6675666666667
1997-4,150,194.2392088611824,184.8243033333333,189.7151357744553,184.44781,197.46282666666664,206.883,184.44781,184.82430333333332,197.46282666666664,206.883,194.23920886118242,197.46282666666664
1998-1,382,399.1078460986935,398.24988,391.6855144532926,383.4912833333333,402.86250666666666,478.06882,383.4912833333333,398.24988,402.86250666666666,478.06882,399.10784609869347,402.86250666666666
1998-2,926,964.1391887135752,945.38251,960.4011,972.4106333333332,958.9042133333332,1127.8352333333337,972.4106333333333,945.38251,958.9042133333332,1127.8352333333335,964.1391887135751,958.9042133333332
1998-3,790,879.6545139471086,888.2510900000001,891.9354133333333,846.3125566666668,896.7588999999999,1100.4768666666666,846.3125566666668,888.2510900000001,896.7588999999999,1100.4768666666666,879.6545139471086,896.7588999999999
1998-4,164,217.7585857358694,207.0024733333333,214.5216534477876,208.0191233333333,219.43671333333336,219.13541333333333,208.01912333333334,207.00247333333334,219.43671333333336,219.13541333333333,217.7585857358694,219.43671333333336
1999-1,271,302.8411502513413,307.73373999999995,316.03528666666665,305.32044333333334,312.91015,450.9912433333334,305.32044333333334,307.73373999999995,312.91015,450.9912433333334,302.8411502513413,312.91015
1999-2,1623,1760.0105097954297,1746.2073666666668,1735.6756666666668,1790.1714,1773.4714666666666,1800.6255666666668,1790.1714,1746.2073666666668,1773.4714666666666,1800.6255666666668,1760.0105097954295,1773.4714666666666
1999-3,802,883.2476872767037,888.9919666666666,900.99058,843.3577233333334,886.3542000000001,726.1744400000001,843.3577233333334,888.9919666666666,886.3542000000001,726.1744400000001,883.2476872767037,886.3542000000001
1999-4,164,190.69916848112507,182.97287000000003,189.33512383641548,184.63308,196.57082666666665,228.83732666666663,184.63307999999998,182.97287000000003,196.57082666666665,228.83732666666666,190.69916848112507,196.57082666666665
2000-1,346,350.75667809067187,350.76272,357.81901,337.2884933333333,356.4518166666667,416.7676333333334,337.2884933333333,350.76272,356.4518166666667,416.7676333333334,350.75667809067187,356.4518166666667
2000-2,778,870.0878319046205,861.2581799999999,871.6776,864.4555833333334,887.8071199999999,1075.0704166666667,864.4555833333334,861.2581799999999,887.8071199999999,1075.0704166666667,870.0878319046205,887.8071199999999
2000-3,547,659.022432766065,662.5064666666667,663.59012,640.53419,673.1001133333333,855.2283833333335,640.53419,662.5064666666667,673.1001133333333,855.2283833333335,659.022432766065,673.1001133333333
2000-4,176,177.04557979520123,172.60358,170.92130657480038,164.64058333333335,181.29221,224.5470033333333,164.64058333333335,172.60358,181.29221,224.54700333333335,177.04557979520123,181.29220999999998
2001-1,380,319.7995156728999,328.35840666666667,324.9694109781163,332.75079,328.32355,457.48194,332.75079,328.35840666666667,328.32355,457.48193999999995,319.7995156728999,328.32355
