date,flow,CER-BiLSTM
1968-03-31,307.0116487455198,290.44293
1968-04-30,500.0,488.86133
1968-05-31,1189.889486260454,1143.3206
1968-06-30,1160.108024691358,1134.1938
1968-07-31,1419.8775388291515,1335.719
1968-08-31,974.8357228195937,964.6359
1968-09-30,2040.123456790124,2060.1172
1968-10-31,1220.131421744325,1187.1014
1968-11-30,562.8858024691358,542.41614
1968-12-31,315.00149342891274,296.7994
1969-01-31,234.9910394265233,221.5145
1969-02-28,209.98677248677245,209.62703
1969-03-31,252.9868578255675,259.00616
1969-04-30,331.01851851851853,326.49924
1969-05-31,510.0059737156511,503.28427
1969-06-30,650.0771604938273,663.60284
1969-07-31,1130.152329749104,1121.7665
1969-08-31,793.0107526881719,808.4341
1969-09-30,709.104938271605,732.9379
1969-10-31,841.173835125448,824.1991
1969-11-30,381.0185185185185,405.39557
1969-12-31,190.0014934289128,193.0159
1970-01-31,147.9988052568698,147.90254
1970-02-28,145.99867724867724,157.15569
1970-03-31,188.9934289127837,221.34499
1970-04-30,367.0138888888889,379.5812
1970-05-31,558.1690561529272,549.98834
1970-06-30,672.067901234568,675.9175
1970-07-31,726.926523297491,741.07886
1970-08-31,1180.1821983273596,1108.3634
1970-09-30,569.0586419753087,594.63794
1970-10-31,614.1726403823178,614.0796
1970-11-30,348.9969135802469,373.00433
1970-12-31,177.00866188769413,196.92542
1971-01-31,139.00089605734766,148.18692
1971-02-28,135.0033068783069,95.99598
1971-03-31,201.0155316606929,205.49683
1971-04-30,335.9953703703704,348.3673
1971-05-31,486.857825567503,471.63644
1971-06-30,638.8888888888888,643.5947
1971-07-31,719.8327359617682,702.8363
1971-08-31,638.0675029868578,659.72797
1971-09-30,1329.861111111111,1324.7263
1971-10-31,1799.9551971326164,1746.6971
1971-11-30,721.0648148148149,700.14075
1971-12-31,308.9904420549582,292.34338
1972-01-31,214.00836320191164,224.73874
1972-02-29,214.0006385696041,213.1954
1972-03-31,284.98357228195937,284.6301
1972-04-30,440.97222222222223,432.54175
1972-05-31,723.9396654719235,708.2903
1972-06-30,1069.83024691358,1045.3862
1972-07-31,1910.0955794504182,1910.1471
1972-08-31,1059.9611708482676,1056.5625
1972-09-30,775.8487654320987,770.85675
1972-10-31,658.9755077658302,656.1558
1972-11-30,364.0046296296296,375.89236
1972-12-31,213.0002986857825,215.5843
1973-01-31,174.99253285543608,184.12314
1973-02-28,176.00859788359787,187.29662
1973-03-31,227.00119474313024,240.84122
1973-04-30,293.98148148148147,296.20804
1973-05-31,564.1427718040621,550.7585
1973-06-30,1050.1543209876545,1033.4851
1973-07-31,919.9522102747908,897.5985
1973-08-31,897.1774193548387,902.1495
1973-09-30,1020.0617283950619,986.01825
1973-10-31,1040.1732377538829,1034.2709
1973-11-30,535.8796296296297,531.4488
1973-12-31,246.00507765830343,254.05241
1974-01-31,168.01075268817203,173.75612
1974-02-28,175.01653439153438,183.67905
1974-03-31,219.98207885304657,232.29602
1974-04-30,305.0154320987654,314.45474
1974-05-31,486.857825567503,497.3828
1974-06-30,910.8796296296296,916.2671
1974-07-31,896.0573476702509,899.61676
1974-08-31,999.8506571087216,1020.177
1974-09-30,1359.9537037037037,1369.5157
1974-10-31,956.1678614097968,985.50867
1974-11-30,589.891975308642,602.4655
1974-12-31,278.0017921146953,293.27972
1975-01-31,178.9874551971326,185.9138
1975-02-28,183.98644179894177,178.83237
1975-03-31,233.98297491039423,233.08296
1975-04-30,316.01080246913585,328.1762
1975-05-31,683.9904420549582,688.88416
1975-06-30,1140.0462962962963,1150.281
1975-07-31,2230.0627240143367,2262.8157
1975-08-31,1829.823775388292,1844.9893
1975-09-30,1689.8148148148148,1682.4642
1975-10-31,1960.1254480286736,1954.0704
1975-11-30,881.9444444444445,898.3481
1975-12-31,354.0173237753882,359.03317
1976-01-31,239.9940262843489,238.86317
1976-02-29,242.01787994891444,247.27904
1976-03-31,321.98327359617684,326.31177
1976-04-30,449.8456790123456,451.7865
1976-05-31,636.9474313022699,657.4913
1976-06-30,1170.138888888889,1149.6763
1976-07-31,1469.9074074074072,1503.3784
1976-08-31,1920.1762246117087,1910.6904
1976-09-30,2000.0,1894.8136
1976-10-31,1089.8297491039427,1059.608
1976-11-30,523.9197530864197,541.92377
1976-12-31,289.98655913978496,284.76678
1977-01-31,214.00836320191164,216.24002
1977-02-28,204.98511904761904,208.41705
1977-03-31,293.01075268817203,281.8014
1977-04-30,606.8672839506173,599.3875
1977-05-31,860.9617682198327,841.4926
1977-06-30,966.820987654321,959.5931
1977-07-31,800.8512544802867,817.6361
1977-08-31,711.9922341696536,709.7344
1977-09-30,658.9506172839506,678.70483
1977-10-31,539.8745519713261,554.2517
1977-11-30,333.9891975308642,330.2455
1977-12-31,188.9934289127837,189.00955
1978-01-31,127.01612903225808,137.17989
1978-02-28,141.0094246031746,152.07837
1978-03-31,196.01254480286727,209.97485
1978-04-30,467.9783950617284,470.7381
1978-05-31,551.0752688172043,554.07837
1978-06-30,760.0308641975308,794.8122
1978-07-31,568.9964157706094,616.3327
1978-08-31,1070.041816009558,1105.6139
1978-09-30,1760.030864197531,1785.7119
1978-10-31,1020.0119474313022,1040.9514
1978-11-30,523.9197530864197,530.25354
1978-12-31,256.0110513739546,259.06735
1979-01-31,193.99641577060933,180.5754
1979-02-28,178.98478835978835,177.56929
1979-03-31,220.99014336917563,222.82729
1979-04-30,390.81790123456796,387.99564
1979-05-31,402.85244922341695,414.47137
1979-06-30,466.0493827160494,488.05777
1979-07-31,1109.9910394265232,1135.9906
1979-08-31,1739.8446833930702,1767.6136
1979-09-30,1680.1697530864203,1684.5214
1979-10-31,965.1284348864992,996.3251
1979-11-30,440.97222222222223,444.4696
1979-12-31,248.99193548387092,241.45503
1980-01-31,173.98446833930706,178.51218
