date,flow,CER-BiLSTM
1977-07-31,831.0931899641577,812.916
1977-08-31,760.9020310633214,718.07275
1977-09-30,694.8302469135804,660.97504
1977-10-31,567.1296296296297,557.3078
1977-11-30,355.0154320987654,331.8076
1977-12-31,192.98835125448028,174.11821
1978-01-31,136.9847670250896,115.62289
1978-02-28,151.00033068783068,118.26747
1978-03-31,197.99133811230587,174.98778
1978-04-30,484.9537037037037,439.7476
1978-05-31,595.1314217443249,535.72076
1978-06-30,800.9259259,766.54694
1978-07-31,620.1463560334528,596.6025
1978-08-31,1149.9402628434889,1099.7672
1978-09-30,1859.953703703704,1811.7919
1978-10-31,1089.8297491039427,1110.5624
1978-11-30,587.9629629629629,553.214
1978-12-31,274.0068697729988,237.46605
1979-01-31,200.00746714456392,165.97812
1979-02-28,187.00396825396825,169.7568
1979-03-31,221.99820788530465,200.03993
1979-04-30,390.0462962962963,371.19247
1979-05-31,400.9856630824373,422.31134
1979-06-30,467.9783950617284,509.39642
1979-07-31,1080.1224611708485,1108.4832
1979-08-31,1749.9253285543607,1759.4885
1979-09-30,1790.1234567901238,1732.328
1979-10-31,1040.1732377538829,1035.5417
1979-11-30,486.1111111111111,446.93204
1979-12-31,266.01702508960574,223.74782
1980-01-31,183.99044205495807,162.9398
1980-02-29,185.9833971902937,172.2529
1980-03-31,244.9970131421744,225.60635
1980-04-30,339.0046296296297,318.58078
1980-05-31,368.9889486260453,369.01587
1980-06-30,616.8981481481482,598.2614
1980-07-31,1379.9283154121863,1354.1394
1980-08-31,994.9970131421744,1013.59143
1980-09-30,1420.138888888889,1453.1442
1980-10-31,1170.1015531660694,1119.4553
1980-11-30,525.8487654320987,509.7092
1980-12-31,233.0122461170848,221.75989
1981-01-31,182.0116487455197,167.42377
1981-02-28,187.00396825396825,170.09319
1981-03-31,227.00119474313018,136.43181
1981-04-30,336.99845679012344,339.59628
1981-05-31,571.9832735961768,548.86804
1981-06-30,1010.0308641975308,1009.6711
1981-07-31,1670.026882,1598.1184
1981-08-31,1059.9611708482676,1055.7458
1981-09-30,3530.0925925925926,3470.4592
1981-10-31,1730.1373954599758,1722.5322
1981-11-30,697.1450617,653.47076
1981-12-31,341.9952210274791,296.11063
1982-01-31,253.99492234169654,229.22379
1982-02-28,244.00628306878303,221.45045
1982-03-31,281.9967144563919,250.53793
1982-04-30,403.1635802469135,345.2033
1982-05-31,816.9056153,811.8284
1982-06-30,1469.9074074074074,1443.7291
1982-07-31,1749.9253285543607,1708.6412
1982-08-31,1070.041816009558,1056.4012
1982-09-30,1670.138888888889,1644.1802
1982-10-31,1659.9462365591398,1682.4004
1982-11-30,736.8827160493828,731.20447
1982-12-31,340.0164277180406,302.11972
1983-01-31,234.99103942652332,216.42033
1983-02-28,217.01388888888889,212.65416
1983-03-31,233.0122461170848,245.95949
1983-04-30,442.9012345679012,430.00787
1983-05-31,868.0555555555555,880.63495
1983-06-30,1219.9074074074074,1202.9937
1983-07-31,2660.170250896057,2635.769
1983-08-31,1879.8536439665472,1863.1833
1983-09-30,1130.0154320987654,1159.9282
1983-10-31,2019.862604540024,1900.7922
1983-11-30,935.1851851851852,907.5504
1983-12-31,377.83751493428906,340.2521
1984-01-31,261.01403823178015,231.95139
1984-02-29,264.0086206896552,261.93964
1984-03-31,298.9844683,303.7079
1984-04-30,412.80864197530866,419.4609
1984-05-31,498.0585424133812,474.59805
1984-06-30,1010.0308641975308,1109.142
1984-07-31,2430.1821983273594,2417.0422
1984-08-31,1500.1493428912784,1537.2036
1984-09-30,831.0185185185185,886.8357
1984-10-31,862.8285543608124,894.58154
1984-11-30,492.01388888888897,528.21686
1984-12-31,275.01493428912784,259.85223
