date,R-XGB
1967-12-31,380.85696
1968-01-31,278.93335
1968-02-29,248.58368
1968-03-31,318.58752
1968-04-30,495.5854
1968-05-31,1176.4731
1968-06-30,1131.943
1968-07-31,1422.7861
1968-08-31,1025.6744
1968-09-30,2141.3938
1968-10-31,1294.281
1968-11-30,657.87744
1968-12-31,358.3908
1969-01-31,254.76
1969-02-28,246.24275
1969-03-31,290.15347
1969-04-30,369.66214
1969-05-31,543.34314
1969-06-30,690.1425
1969-07-31,1158.0278
1969-08-31,874.91064
1969-09-30,768.99554
1969-10-31,886.35754
1969-11-30,432.01663
1969-12-31,208.5209
1970-01-31,178.4792
1970-02-28,164.56651
1970-03-31,202.62437
1970-04-30,383.0108
1970-05-31,597.92285
1970-06-30,708.4757
1970-07-31,802.00995
1970-08-31,1237.0066
1970-09-30,622.751
1970-10-31,657.3314
1970-11-30,373.44455
1970-12-31,192.50374
1971-01-31,183.97716
1971-02-28,164.50691
1971-03-31,212.73604
1971-04-30,325.37277
1971-05-31,471.31024
1971-06-30,616.8495
1971-07-31,761.4167
1971-08-31,681.8159
1971-09-30,1363.9521
1971-10-31,1884.9745
1971-11-30,755.5899
1971-12-31,306.10156
1972-01-31,222.3387
1972-02-29,219.02393
1972-03-31,283.52917
1972-04-30,440.20535
1972-05-31,745.0221
1972-06-30,1059.4065
1972-07-31,1937.2644
1972-08-31,1114.3746
1972-09-30,803.2653
1972-10-31,661.1196
1972-11-30,386.9032
1972-12-31,219.9202
1973-01-31,178.91708
1973-02-28,177.35858
1973-03-31,217.20811
1973-04-30,283.836
1973-05-31,563.46436
1973-06-30,1000.4885
1973-07-31,931.0734
1973-08-31,911.7506
1973-09-30,1057.6411
1973-10-31,1063.6725
1973-11-30,550.3831
1973-12-31,255.2994
1974-01-31,175.07816
1974-02-28,179.59056
1974-03-31,228.1998
1974-04-30,314.1863
1974-05-31,486.31467
1974-06-30,901.0842
1974-07-31,906.78546
1974-08-31,1022.0662
1974-09-30,1374.725
1974-10-31,1018.74567
