date,flow,CER-MLR
1963-08-31,1310.110513739546,1254.9309921057445
1963-09-30,2369.984567901234,2337.172473060949
1963-10-31,1870.1463560334528,1676.2549019860855
1963-11-30,694.8302469135804,639.5702505991547
1963-12-31,340.0164277180406,328.7994845123711
1964-01-31,238.98596176821985,249.91262044929107
1964-02-29,253.9910600255428,235.59241715385548
1964-03-31,318.9964157706093,280.0610508101947
1964-04-30,486.1111111111111,438.5752888513826
1964-05-31,670.9229390681004,632.7319740146282
1964-06-30,719.9074074074074,643.701732538574
1964-07-31,2000.0746714456395,1939.6554856492598
1964-08-31,1540.0985663082438,1439.7035131490366
1964-09-30,1599.9228395061727,1486.138938637434
1964-10-31,1369.847670250896,1305.4453218799308
1964-11-30,652.0061728395061,644.327705738756
1964-12-31,332.9973118,334.9434716221179
1965-01-31,238.98596176821985,248.86088041762304
1965-02-28,265.54232804232805,245.1454837091549
1965-03-31,283.0047789725209,250.3031987632029
1965-04-30,432.8703703703704,389.55060769839395
1965-05-31,667.9360812425329,632.471082570344
1965-06-30,935.1851851851852,887.2500046562344
1965-07-31,1569.9671445639185,1545.1776379621028
1965-08-31,838.9336917562724,843.167903876437
1965-09-30,1050.1543209876545,1070.8687019192766
1965-10-31,869.9223416965352,885.1962201676077
1965-11-30,447.9166666666667,457.7542051465135
1965-12-31,223.0062724014337,238.02559284357991
1966-01-31,187.0146356033453,224.80517426496255
1966-02-28,187.00396825396825,200.64059103385247
1966-03-31,244.99701314217444,262.2385509695825
1966-04-30,334.99228395061726,345.2096393390949
1966-05-31,405.0925925925926,408.57912909955076
1966-06-30,484.1820987654321,490.95446243380024
1966-07-31,1040.1732377538829,1116.1331898940118
1966-08-31,1780.1672640382317,1828.5261354800884
1966-09-30,2060.185185185185,2139.9675230754706
1966-10-31,1469.9074074074072,1468.5110423006377
1966-11-30,635.0308641975308,648.5776407261676
1966-12-31,325.0074671445639,344.55145242682113
1967-01-31,243.9889486260454,250.9960875039404
1967-02-28,218.0059523809524,224.18557702589308
1967-03-31,270.98267622461174,281.5537375716472
1967-04-30,369.9845679012346,395.09185848051777
1967-05-31,1160.020908004779,1118.4093923905384
1967-06-30,1219.9074074074074,1183.2426060375149
1967-07-31,2113.575268817204,2102.831998596266
1967-08-31,1699.895459976105,1653.4852720476165
1967-09-30,2550.154320987654,2527.5869869031935
1967-10-31,1630.077658303465,1599.935983692633
1967-11-30,841.0493827160494,796.7985677230182
1967-12-31,386.0513739545997,370.55894263536004
1968-01-31,286.9997013142174,296.9516577665097
1968-02-29,253.9910600255428,243.62625153199917
1968-03-31,317.9883512544803,322.57148443217
1968-04-30,496.9135802469136,521.9253035965071
1968-05-31,1189.889486260454,1164.1745457692518
1968-06-30,1130.0154320987654,1151.8986614948349
1968-07-31,1440.0388291517324,1375.2170066104743
1968-08-31,1020.0119474313022,993.9279634460808
1968-09-30,2069.830247,2121.5805332513783
1968-10-31,1319.8178016726404,1221.8951037041895
1968-11-30,677.8549383,587.4401595766269
1968-12-31,378.9575866188769,341.8925465884974
1969-01-31,261.9847670250896,264.4450629734326
1969-02-28,251.984127,235.4528186426593
1969-03-31,294.9895459976105,270.0045484013877
1969-04-30,375.00000000000006,362.5975889186056
1969-05-31,548.8351254480286,522.960010112669
1969-06-30,689.8148148148148,709.1325371260887
1969-07-31,1149.9402628434889,1197.1953282037773
1969-08-31,881.8697729988053,864.1055742118025
1969-09-30,768.1327160493827,786.8309845268524
1969-10-31,896.0573476702509,862.7763829943275
1969-11-30,437.1141975308642,412.8291861113897
