date,E-XGB
1981-03-31,222.86307
1981-04-30,341.15366
1981-05-31,583.7876
1981-06-30,1059.7327
1981-07-31,1637.1239
1981-08-31,1057.2383
1981-09-30,2996.0225
1981-10-31,1683.4882
1981-11-30,714.92645
1981-12-31,351.17468
1982-01-31,250.27763
1982-02-28,251.0667
1982-03-31,283.54623
1982-04-30,394.6488
1982-05-31,850.61725
1982-06-30,1515.349
1982-07-31,1752.4159
1982-08-31,1061.1233
1982-09-30,1673.3767
1982-10-31,1648.1237
1982-11-30,696.28204
1982-12-31,325.82047
1983-01-31,233.19814
1983-02-28,215.57785
1983-03-31,251.42734
1983-04-30,475.14395
1983-05-31,873.23846
1983-06-30,1209.0815
1983-07-31,2522.8699
1983-08-31,1798.1847
1983-09-30,1098.3793
1983-10-31,1917.2129
1983-11-30,910.9372
1983-12-31,571.0748
1984-01-31,274.18057
1984-02-29,281.1315
1984-03-31,325.7852
1984-04-30,445.8558
1984-05-31,521.89197
1984-06-30,1059.8059
1984-07-31,2457.4204
1984-08-31,1484.7823
1984-09-30,833.98926
1984-10-31,887.30475
1984-11-30,521.8287
1984-12-31,288.3285
1985-01-31,208.51993
1985-02-28,177.74933
1985-03-31,234.20271
1985-04-30,357.3601
1985-05-31,456.13116
1985-06-30,683.5046
1985-07-31,1249.5157
1985-08-31,978.5311
1985-09-30,2468.0156
1985-10-31,1169.3202
1985-11-30,510.8789
1985-12-31,270.3529
1986-01-31,211.26096
1986-02-28,206.67944
1986-03-31,247.54424
1986-04-30,413.4745
1986-05-31,827.9982
1986-06-30,1269.8184
1986-07-31,1645.8511
1986-08-31,1195.9169
1986-09-30,1252.7809
1986-10-31,858.9738
1986-11-30,391.0671
1986-12-31,259.24344
1987-01-31,205.24878
1987-02-28,191.4769
1987-03-31,205.63014
1987-04-30,313.21652
1987-05-31,615.542
1987-06-30,922.7756
1987-07-31,1220.68
1987-08-31,1194.8788
1987-09-30,965.9902
1987-10-31,1032.0768
1987-11-30,431.42038
1987-12-31,253.89609
1988-01-31,146.49615
1988-02-29,169.58379
1988-03-31,196.56035
1988-04-30,373.93353
1988-05-31,683.97876
1988-06-30,1003.79266
1988-07-31,1151.7899
1988-08-31,1304.6011
1988-09-30,769.5919
1988-10-31,987.83496
1988-11-30,1101.3253
1988-12-31,431.58484
1989-01-31,223.88248
1989-02-28,195.92303
1989-03-31,267.63464
1989-04-30,374.21225
1989-05-31,676.7003
1989-06-30,1016.5728
1989-07-31,1775.2565
1989-08-31,1838.981
1989-09-30,1810.277
1989-10-31,1405.6437
1989-11-30,695.57446
1989-12-31,281.02188
1990-01-31,204.82106
1990-02-28,201.98195
1990-03-31,217.61577
1990-04-30,410.18646
1990-05-31,722.9027
1990-06-30,912.41815
1990-07-31,1491.8193
1990-08-31,1079.1578
1990-09-30,1333.0637
1990-10-31,1100.8987
1990-11-30,604.08484
1990-12-31,254.18452
1991-01-31,198.1142
1991-02-28,185.6156
1991-03-31,284.45245
1991-04-30,345.53107
1991-05-31,718.4767
1991-06-30,913.3748
1991-07-31,1392.0083
1991-08-31,1369.6184
1991-09-30,1259.3147
1991-10-31,1041.9354
1991-11-30,807.5484
1991-12-31,251.23294
1992-01-31,192.47879
1992-02-29,201.45352
1992-03-31,249.09203
1992-04-30,428.90906
1992-05-31,808.608
1992-06-30,869.5877
1992-07-31,1729.4374
1992-08-31,1836.175
1992-09-30,1683.4143
1992-10-31,1349.069
1992-11-30,615.32996
1992-12-31,307.31073
1993-01-31,192.83543
1993-02-28,208.87492
1993-03-31,304.90033
