YQ,natural_flow,VIF_MLR,VIF_LSTM,VIF_LSTM_MLR,VIF_XGB,VIF_BILSTM,VIF_CNN,CER-XGB,CER-LSTM,CER-BILSTM,CER-CNN,CER-MLR,CER-BiLSTM
1990-3,756,769.5545303581476,750.54253,700.5883433333333,741.9412166666666,731.7280233333335,963.80652,741.9412166666666,750.54253,731.7280233333335,963.8065200000001,769.5545303581476,731.7280233333335
1990-4,238,219.03080168904629,190.26549,201.9197874339609,199.54158666666663,179.82304666666664,235.86589,199.54158666666663,190.26549,179.82304666666664,235.86589,219.03080168904629,179.82304666666664
1991-1,360,340.9687472943735,323.91630000000004,304.06158909756,318.45551,309.02267333333333,389.6013833333333,318.45551,323.91630000000004,309.02267333333333,389.60138333333333,340.9687472943735,309.02267333333333
1991-2,890,915.5317372450968,868.3303999999999,865.17692,944.43842,848.6410666666667,896.2092333333334,944.4384200000001,868.3303999999999,848.6410666666667,896.2092333333334,915.5317372450967,848.6410666666667
1991-3,629,693.8610320718122,694.3376466666667,619.5340666666667,675.69395,649.62691,996.8628166666668,675.69395,694.3376466666667,649.62691,996.8628166666667,693.8610320718122,649.62691
1991-4,202,218.53650797004173,191.69425,209.2276511147974,201.9149933333333,185.7004533333333,245.54726,201.9149933333333,191.69425,185.7004533333333,245.54726000000002,218.53650797004175,185.70045333333334
1992-1,388,374.1894925627636,354.9360133333333,340.8680520388645,353.24292,346.02851000000004,426.7182133333333,353.24291999999997,354.9360133333333,346.02851000000004,426.7182133333333,374.18949256276363,346.02851000000004
1992-2,1220,1309.5783243067733,1269.9994666666666,1242.5813533333333,1244.8301333333332,1270.655,1417.3329,1244.8301333333332,1269.9994666666666,1270.655,1417.3329,1309.5783243067733,1270.655
1992-3,862,955.9161780560602,953.4142,906.75892,866.2195666666667,908.2376066666668,1034.41425,866.2195666666667,953.4142,908.2376066666668,1034.41425,955.9161780560602,908.2376066666667
1992-4,181,241.69255144039343,210.80216,230.7661120125489,210.37365666666665,204.9699933333333,244.6706133333333,210.37365666666665,210.80216,204.9699933333333,244.67061333333334,241.69255144039343,204.96999333333335
1993-1,529,506.8182093221739,474.9785133333333,451.56816333333336,491.9038166666666,460.5747466666666,468.2604866666666,491.90381666666667,474.9785133333333,460.5747466666666,468.2604866666666,506.8182093221739,460.57474666666667
1993-2,1382,1431.336662699783,1382.1228,1396.26458,1421.19985,1371.7626,1467.9761,1421.19985,1382.1228,1371.7626,1467.9760999999999,1431.336662699783,1371.7626
1993-3,795,872.9615634679731,866.4516833333333,817.8614666666666,841.6885666666667,836.8930266666666,801.1354433333332,841.6885666666667,866.4516833333333,836.8930266666666,801.1354433333332,872.9615634679731,836.8930266666666
1993-4,202,221.2919927285037,198.7265933333333,216.4906354187054,192.26342666666665,196.4143433333333,235.3704766666667,192.26342666666665,198.7265933333333,196.4143433333333,235.3704766666667,221.2919927285037,196.41434333333333
1994-1,522,468.77161125973606,447.93745000000007,452.7882400781924,458.43643333333335,445.8338733333333,540.9059933333333,458.43643333333335,447.93745000000007,445.8338733333333,540.9059933333333,468.77161125973606,445.8338733333333
1994-2,985,1005.8013262800514,966.1272533333334,954.7757666666666,974.1087,954.6827866666666,1231.615366666667,974.1086999999999,966.1272533333334,954.6827866666666,1231.6153666666667,1005.8013262800514,954.6827866666666
1994-3,581,647.3803485815722,647.6588966666667,612.89244,651.8697999999999,617.4634533333334,986.9586666666664,651.8697999999999,647.6588966666667,617.4634533333334,986.9586666666665,647.3803485815722,617.4634533333334
1994-4,230,209.25837023636905,196.97663,200.92968193641173,207.55794,193.00722,249.50886,207.55794,196.97663,193.00722,249.50886,209.25837023636905,193.00722
1995-1,486,438.5629090404339,438.9583866666667,412.2256821366129,463.5032633333333,427.3942933333333,604.7445666666666,463.50326333333334,438.9583866666667,427.3942933333333,604.7445666666666,438.5629090404339,427.39429333333334
