date,flow_{t+1},R-CNN
1978-05-31,595.1314217443249,568.4573
1978-06-30,800.9259259,815.5412
1978-07-31,620.1463560334528,619.6086
1978-08-31,1149.9402628434889,1133.284
1978-09-30,1859.953703703704,1757.1942
1978-10-31,1089.8297491039427,1089.3503
1978-11-30,587.9629629629629,486.60706
1978-12-31,274.0068697729988,259.14786
1979-01-31,200.00746714456392,210.87212
1979-02-28,187.00396825396825,217.92545
1979-03-31,221.99820788530465,248.68147
1979-04-30,390.0462962962963,353.81067
1979-05-31,400.9856630824373,403.6481
1979-06-30,467.9783950617284,501.80627
1979-07-31,1080.1224611708485,1200.3553
1979-08-31,1749.9253285543607,1747.9169
1979-09-30,1790.1234567901238,1696.6483
1979-10-31,1040.1732377538829,1048.3733
1979-11-30,486.1111111111111,460.787
1979-12-31,266.01702508960574,279.481
1980-01-31,183.99044205495807,212.74962
1980-02-29,185.9833971902937,215.87595
1980-03-31,244.9970131421744,245.8354
1980-04-30,339.0046296296297,336.5047
1980-05-31,368.9889486260453,375.04675
1980-06-30,616.8981481481482,720.6199
1980-07-31,1379.9283154121863,1404.5592
1980-08-31,994.9970131421744,994.4352
1980-09-30,1420.138888888889,1445.3839
1980-10-31,1170.1015531660694,1163.9661
1980-11-30,525.8487654320987,498.244
1980-12-31,233.0122461170848,273.66324
1981-01-31,182.0116487455197,210.14534
1981-02-28,187.00396825396825,211.13599
1981-03-31,227.00119474313018,216.26071
1981-04-30,336.99845679012344,334.9279
1981-05-31,571.9832735961768,603.5358
1981-06-30,1010.0308641975308,1088.6086
1981-07-31,1670.026882,1648.7975
1981-08-31,1059.9611708482676,1082.1038
1981-09-30,3530.0925925925926,3404.7947
1981-10-31,1730.1373954599758,1754.3907
1981-11-30,697.1450617,645.9462
1981-12-31,341.9952210274791,368.0257
1982-01-31,253.99492234169654,241.18645
1982-02-28,244.00628306878303,251.99794
1982-03-31,281.9967144563919,283.75677
1982-04-30,403.1635802469135,395.8063
1982-05-31,816.9056153,801.89905
1982-06-30,1469.9074074074074,1476.0823
1982-07-31,1749.9253285543607,1805.0614
1982-08-31,1070.041816009558,1041.1049
1982-09-30,1670.138888888889,1599.7183
1982-10-31,1659.9462365591398,1592.9042
