index,CER-XGB,CER-LSTM,CER-BiLSTM,CER-CNN,CER-MLR,E_XGB,E_LSTM,E_BiLSTM,E_CNN,E_MLR,R_XGB,R_LSTM,R_BiLSTM,R_CNN,R_MLR
ED,596.1253010252761,834.4619983487515,833.5166536368222,432.4051027549458,707.6376637461482,1290.6946833283716,4162.182921140964,1901.7978503537825,1347.0081994363238,4326.864942061621,923.932286151917,935.0359280745548,881.6670248573361,871.1089540177567,807.4091233360399
NED,0.8031752114496103,0.929349401241572,0.8494864706449166,0.5830036228299552,0.9622414455005224,1.7443481906423604,4.932241754987675,2.38523191168559,1.9365567584189247,5.883644963573453,1.2382255301796672,1.0537118097391849,1.011035946150023,0.9985507184885576,1.0979100770813228
RMSE,37.55236420824757,51.35758577117068,51.299403826130245,26.61269440258892,43.55208755182254,81.30612263333656,256.1646507459779,117.04756647066851,82.90262381500175,266.3001284922846,58.20226327193664,57.54748325297055,54.26285431850093,53.61304997774633,49.69259641087456
RMSLE,0.0154627038998151,0.1063184964393638,0.1129070103620047,0.0599119037047737,0.0869222581977915,0.1350504042779528,0.2427220212457267,0.1554883691643873,0.1832148801573552,0.4540523440572864,0.0294769772812421,0.117662997768039,0.1064508489584881,0.0863291388349123,0.0901810711945399
NRMSE_RANGE,0.0110672475319781,0.0151358543292331,0.0151187072334049,0.0078431620127302,0.0128354563988954,0.0239621393757912,0.0754955821962816,0.0344956813894035,0.0244326523284405,0.0784826601989123,0.0171530839171614,0.0169601103800306,0.0159920807436838,0.0158005736138902,0.0146451568784329
NRMSE_MEAN,0.0506279079251007,0.0686107058639565,0.0685329782165638,0.0355529902834404,0.0592218671043838,0.1096165042392574,0.3422208665217562,0.1563686461235283,0.1107530163755138,0.3621133154796492,0.0784679976372009,0.0768800438609582,0.0724919733099153,0.0716238730317736,0.0675716941745871
NRMSE_IQR,0.0485427099463899,0.0655420601786564,0.0654678089363931,0.0339628662807939,0.0562432522745875,0.1051017588657929,0.326914879325619,0.1493749858018486,0.1057995362800229,0.3439005142916478,0.0752361573978484,0.0734415481931335,0.06924973613548,0.0684204620454585,0.0641731175983348
IRMSE,0.0843234469891334,0.1151545293758547,0.1150240731949673,0.0596712686808937,0.0992937541865682,0.1825720608093793,0.5743751260196918,0.2624453083050689,0.1858851518444817,0.6071336871487787,0.1306925826145678,0.1290335838660208,0.1216687536575204,0.1202117553986967,0.1132934086579103
MASE,0.021644951937,0.1249869393026579,0.1338686420413599,0.0690819345434574,0.1083727817283654,0.1958156637495259,0.5219306169557668,0.2671891112632838,0.2190546079191276,0.6181800642253176,0.0460308641602479,0.1365140885471866,0.125149406023775,0.1263807569880151,0.1215367889341232
R_SQUARED,0.9957824268673504,0.995035801221353,0.996729610296456,0.997917817003016,0.9941085204791024,0.9806296600965304,0.84575202113678,0.9635101776912776,0.9866565021985372,0.7797331347091129,0.9899527571734156,0.9936734078079976,0.9938780908347932,0.9936106477309332,0.9923300983126232
PEARSON_R,0.9978889852420212,0.997514821940609,0.9983634256885936,0.9989583750366202,0.997049908720272,0.990267468968122,0.9196477542511852,0.9815855190398624,0.9933058550068076,0.8830249909878616,0.9949636964097812,0.9968316653508732,0.9969343146696446,0.9968001730616226,0.9961576673963932
SPEARMAN_R,0.9998687719761696,0.9950261930049008,0.9961572626681018,0.997324530444107,0.9943632398089356,0.9806570698459068,0.948865416017556,0.979294581946136,0.9906568083074092,0.9340358345490812,0.9994394688307788,0.9940782266405744,0.9946965081083292,0.9944581306015104,0.9937984003198717
ACC,0.9939291083164576,0.9937363683252536,0.9945817995620452,0.9951744515156647,0.9932732045205744,0.9863378361547565,0.9161642639681296,0.9778674640488616,0.9895433025026196,0.8796801993553314,0.9910154277732348,0.9930558086928571,0.9931580685748936,0.9930244326590366,0.9923843428986804
MAPD,0.0087760208251707,0.0505999881603081,0.0541956762852364,0.0279672827376435,0.0436656458521928,0.0793941399344431,0.2112995420626522,0.1081694290772821,0.0886825505849721,0.2490775942709177,0.0186633735037497,0.0552666646830674,0.0506657615459981,0.0511642643860497,0.0489696979165118
MAAPE,0.0063189367568388,0.0678254411769913,0.0761103642650147,0.0434104491557072,0.0577018877550998,0.1049305285701324,0.1782615593619158,0.1247068140252623,0.1482621789851689,0.2560334742688553,0.017159075881239,0.0713388537061475,0.063018292279182,0.0645786910913295,0.0633054336184905
SMAPE1,0.3170206045624125,3.652870731688281,4.115758639034713,2.1118237502698105,2.9293218299970825,5.129442033389274,9.5966941846273,6.033820375756009,6.79086071426194,13.351341730641968,0.861937543188034,3.8803495647339834,3.405104769127202,3.2718598791779376,3.189970194869084
SMAPE2,0.634041209124825,7.305741463376562,8.231517278069425,4.223647500539621,5.858643659994165,10.258884066778547,19.193388369254603,12.067640751512018,13.58172142852388,26.702683461283936,1.723875086376068,7.760699129467965,6.810209538254404,6.543719758355875,6.379940389738168
D,0.998910154875071,0.9979562075647443,0.99796589656818,0.999457621986222,0.998520625741968,0.9947323426491111,0.9344900749592168,0.9898541312516986,0.9942924123867194,0.9343558679274956,0.9973513217664534,0.9974301460960688,0.9977143119806254,0.9977316876085904,0.9980714979357972
D1,0.992831530828508,0.958647196267581,0.9558656978058068,0.977060471572198,0.9642596059554542,0.934201494777886,0.8116987976462293,0.9126048645585396,0.9245388350831902,0.7865209312222032,0.9847143612987972,0.9548250881190892,0.9585553230641012,0.9578617131075512,0.9598064472521304
DMOD,0.992831530828508,0.958647196267581,0.9558656978058068,0.977060471572198,0.9642596059554542,0.934201494777886,0.8116987976462293,0.9126048645585396,0.9245388350831902,0.7865209312222032,0.9847143612987972,0.9548250881190892,0.9585553230641012,0.9578617131075512,0.9598064472521304
DREL,0.9999041322169034,0.9961442737096098,0.995614338688528,0.9982545489316436,0.9972711928747752,0.9904905373206464,0.9717685334883944,0.9878753119035796,0.977937226492379,0.9373490452254668,0.9996492682809875,0.9956038464523288,0.9963713774278808,0.9966897837657576,0.996912352096506
DR,0.992837329120808,0.9587167670704309,0.9557831373246448,0.9771822111102598,0.9644282992352056,0.9352013736731454,0.8276061214629606,0.911747336337148,0.9276461808451651,0.7970918904849991,0.984767629365762,0.9549093453515628,0.9586631042515106,0.9582563885661888,0.9601074160972004
