index,CER-XGB,CER-LSTM,CER-BiLSTM,CER-CNN,CER-MLR,E_XGB,E_LSTM,E_BiLSTM,E_CNN,E_MLR,R_XGB,R_LSTM,R_BiLSTM,R_CNN,R_MLR
ED,471.960222619478,487.2533318836191,363.9806003953201,585.631375058033,440.124204873248,507.8464638907609,4096.014158752593,3685.73214989949,1062.0397205540314,4189.077740092054,813.9906007138867,410.8251322814946,625.6890159657157,625.3169823044441,493.857256272328
NED,0.6690194103882224,0.6379410735479192,0.5102196360004855,0.8145149425843718,0.6316829990363921,0.7209997215587044,5.488041499609196,5.021477917384605,1.5881426622712262,6.012323704896015,1.154904053180238,0.5633771415020395,0.6244638711854573,0.8270153174280375,0.7088027181505057
RMSE,29.73069947061476,29.988369553101165,22.401457395106338,36.04311956008506,27.087772296970694,31.99132018234516,252.09224493665704,226.8411328407949,65.3640263411348,257.81991242813234,51.27658807221474,25.284539032155383,38.50849693230574,38.48559984327553,30.39481300276164
RMSLE,0.011288661674134,0.0485173919995581,0.049480366173124,0.0679094519433578,0.073204805914684,0.0151319775519783,0.2444077030886966,0.2524804661314607,0.2012518294219903,,0.0219844618921023,0.0710401856985347,0.0624471856731888,0.0891903250947388,0.077060422667778
NRMSE_RANGE,0.0088937081690152,0.0089707881758204,0.0067012222443545,0.0107820196825558,0.0080957730475474,0.0095699553225957,0.0754114399613945,0.067857765613919,0.0195531415466511,0.0770551182752725,0.01533899364419,0.0075636737562237,0.0115195182031236,0.0115126687165195,0.0090841544736597
NRMSE_MEAN,0.0422288937648629,0.0420891839061151,0.0314408243635283,0.0505871279539983,0.0388774010888429,0.0454398344281549,0.3538157297833866,0.3183753668468573,0.0917395165697388,0.3700329445430181,0.0728322450827766,0.0354872782070168,0.0540473267965406,0.0540151903447938,0.0436237916936747
NRMSE_IQR,0.0374274795366114,0.037410548758136,0.0279458612329348,0.0449638610498731,0.033824363538512,0.0402733370823431,0.3144855609455934,0.2829847499866422,0.0815417487147191,0.3219384137547454,0.0645512377761891,0.0315425111263384,0.0480394240686412,0.0480108599059891,0.0379538484530703
IRMSE,0.0688618054434415,0.0692042151766229,0.051695884135874,0.0831767728237471,0.0637001084463817,0.0740978216288815,0.5817537339621796,0.5234816964698858,0.1508406829425162,0.606294094665929,0.1187660732678797,0.0583491768942153,0.0888661286874137,0.0888132890332485,0.0714770067932067
MASE,0.0157953183851912,0.0689923412710182,0.0539768047313195,0.093101998620009,0.0652404524553791,0.0199525710565769,0.5250598766590765,0.5026929567862315,0.1832001533980449,0.6152429451819935,0.0318359491410999,0.0600166073954124,0.0907698890844201,0.1014471975300475,0.074736255058846
R_SQUARED,0.997218239172552,0.9974878971015984,0.9984101897064432,0.9965784628327332,0.997558818919084,0.9967645469484552,0.8156867618691546,0.842939610748013,0.9901910807029124,0.7788503132539724,0.9915449644982726,0.998046749468988,0.9975763884472064,0.9972663591935546,0.9969263644751578
PEARSON_R,0.9986081509644068,0.9987431392459984,0.9992047339514554,0.9982877718102338,0.9987786636282756,0.9983809628335542,0.9031537962651424,0.9181174442648686,0.9950834927082404,0.8825249646633077,0.9957635083182514,0.9990229349082562,0.9987874515441524,0.998632278250959,0.9984619995148328
