date,flow,E-LSTM
1970-01-31,147.9988052568698,197.22969
1970-02-28,145.99867724867724,155.89514
1970-03-31,188.9934289127837,189.32106
1970-04-30,367.0138888888889,399.52148
1970-05-31,558.1690561529272,670.8295
1970-06-30,672.067901234568,866.4061
1970-07-31,726.926523297491,1069.4233
1970-08-31,1180.1821983273596,1480.3782
1970-09-30,569.0586419753087,1065.894
1970-10-31,614.1726403823178,655.585
1970-11-30,348.9969135802469,371.23004
1970-12-31,177.00866188769413,229.10616
1971-01-31,139.00089605734766,152.69234
1971-02-28,135.0033068783069,143.54546
1971-03-31,201.0155316606929,241.83371
1971-04-30,335.9953703703704,421.224
1971-05-31,486.857825567503,630.59955
1971-06-30,638.8888888888888,804.0375
1971-07-31,719.8327359617682,933.89026
1971-08-31,638.0675029868578,869.57166
1971-09-30,1329.861111111111,1364.21
1971-10-31,1799.9551971326164,1083.9783
1971-11-30,721.0648148148149,534.2895
1971-12-31,308.9904420549582,297.79697
1972-01-31,214.00836320191164,220.95113
1972-02-29,214.0006385696041,198.37166
1972-03-31,284.98357228195937,279.51236
1972-04-30,440.97222222222223,385.1033
1972-05-31,723.9396654719235,703.58417
1972-06-30,1069.83024691358,846.0515
1972-07-31,1910.0955794504182,1480.6573
1972-08-31,1059.9611708482676,1178.4869
1972-09-30,775.8487654320987,951.19183
1972-10-31,658.9755077658302,671.5359
1972-11-30,364.0046296296296,396.46588
1972-12-31,213.0002986857825,239.05518
1973-01-31,174.99253285543608,160.71614
1973-02-28,176.00859788359787,132.79521
1973-03-31,227.00119474313024,188.29947
1973-04-30,293.98148148148147,325.4878
1973-05-31,564.1427718040621,511.66354
1973-06-30,1050.1543209876545,689.0562
1973-07-31,919.9522102747908,823.4618
1973-08-31,897.1774193548387,875.0754
1973-09-30,1020.0617283950619,885.9117
1973-10-31,1040.1732377538829,828.3833
1973-11-30,535.8796296296297,530.4567
1973-12-31,246.00507765830343,316.74426
1974-01-31,168.01075268817203,200.13972
1974-02-28,175.01653439153438,174.9654
1974-03-31,219.98207885304657,216.57198
1974-04-30,305.0154320987654,425.20624
1974-05-31,486.857825567503,621.2718
1974-06-30,910.8796296296296,694.72186
1974-07-31,896.0573476702509,834.5904
1974-08-31,999.8506571087216,1059.0903
1974-09-30,1359.9537037037037,1127.5514
1974-10-31,956.1678614097968,961.97253
1974-11-30,589.891975308642,578.3715
1974-12-31,278.0017921146953,324.9937
1975-01-31,178.9874551971326,223.66376
1975-02-28,183.98644179894177,212.87831
1975-03-31,233.98297491039423,265.81424
1975-04-30,316.01080246913585,472.56363
1975-05-31,683.9904420549582,728.5713
1975-06-30,1140.0462962962963,991.8746
1975-07-31,2230.0627240143367,1309.5789
1975-08-31,1829.823775388292,1386.1798
1975-09-30,1689.8148148148148,1171.8152
1975-10-31,1960.1254480286736,1256.1084
1975-11-30,881.9444444444445,711.77234
1975-12-31,354.0173237753882,377.99
1976-01-31,239.9940262843489,241.83281
1976-02-29,242.01787994891444,217.62808
1976-03-31,321.98327359617684,245.84325
1976-04-30,449.8456790123456,377.50357
1976-05-31,636.9474313022699,702.5097
1976-06-30,1170.138888888889,885.37964
1976-07-31,1469.9074074074072,920.16016
1976-08-31,1920.1762246117087,1340.3212
1976-09-30,2000.0,1466.3578
1976-10-31,1089.8297491039427,951.4949
1976-11-30,523.9197530864197,517.4306
1976-12-31,289.98655913978496,308.11746
1977-01-31,214.00836320191164,201.32436
1977-02-28,204.98511904761904,181.32986
1977-03-31,293.01075268817203,230.43776
1977-04-30,606.8672839506173,365.41626
1977-05-31,860.9617682198327,577.7219
1977-06-30,966.820987654321,996.09595
1977-07-31,800.8512544802867,931.86676
1977-08-31,711.9922341696536,969.6086
1977-09-30,658.9506172839506,849.48413
1977-10-31,539.8745519713261,710.67316
1977-11-30,333.9891975308642,405.17728
1977-12-31,188.9934289127837,227.88388
1978-01-31,127.01612903225808,139.14793
1978-02-28,141.0094246031746,128.74396
1978-03-31,196.01254480286727,188.89908
1978-04-30,467.9783950617284,375.78098
1978-05-31,551.0752688172043,627.5321
1978-06-30,760.0308641975308,721.13586
1978-07-31,568.9964157706094,772.8342
1978-08-31,1070.041816009558,1050.1951
1978-09-30,1760.030864197531,1640.9277
1978-10-31,1020.0119474313022,917.9932
1978-11-30,523.9197530864197,472.99286
1978-12-31,256.0110513739546,283.1373
1979-01-31,193.99641577060933,200.6477
1979-02-28,178.98478835978835,186.23685
1979-03-31,220.99014336917563,217.20564
1979-04-30,390.81790123456796,434.68347
1979-05-31,402.85244922341695,646.5396
1979-06-30,466.0493827160494,766.5307
1979-07-31,1109.9910394265232,1308.0969
1979-08-31,1739.8446833930702,1777.9348
1979-09-30,1680.1697530864203,1443.079
1979-10-31,965.1284348864992,843.1273
1979-11-30,440.97222222222223,461.00122
1979-12-31,248.99193548387092,268.85028
1980-01-31,173.98446833930706,162.48453
1980-02-29,172.01468710089398,159.47537
1980-03-31,237.0071684587814,203.77766
1980-04-30,328.0092592592593,345.94495
1980-05-31,362.0071684587812,639.70905
1980-06-30,618.8271604938271,784.898
