date,flow_{t+1},R-CNN
1969-11-30,381.0185185185185,375.49637
1969-12-31,190.0014934289128,196.23674
1970-01-31,147.9988052568698,144.60867
1970-02-28,145.99867724867724,148.06923
1970-03-31,188.9934289127837,182.28958
1970-04-30,367.01388888888886,337.82208
1970-05-31,558.1690561529272,514.231
1970-06-30,672.067901234568,607.593
1970-07-31,726.926523297491,703.6021
1970-08-31,1180.1821983273596,1113.9354
1970-09-30,569.0586419753087,548.3716
1970-10-31,614.1726403823178,626.2577
1970-11-30,348.9969135802469,349.57874
1970-12-31,177.00866188769413,181.67458
1971-01-31,139.00089605734766,122.504814
1971-02-28,135.0033068783069,108.64962
1971-03-31,201.0155316606929,173.06824
1971-04-30,335.9953703703703,315.84787
1971-05-31,486.857825567503,442.39075
1971-06-30,638.8888888888888,594.15326
1971-07-31,719.8327359617682,612.91675
1971-08-31,638.0675029868578,629.45636
1971-09-30,1329.861111111111,1331.6946
1971-10-31,1799.9551971326161,1760.8796
1971-11-30,721.0648148148149,696.3227
1971-12-31,308.9904420549582,307.26584
1972-01-31,214.00836320191158,163.5174
1972-02-29,214.00063856960412,160.32135
1972-03-31,284.98357228195937,235.34958
1972-04-30,440.97222222222223,364.29443
1972-05-31,723.9396654719235,691.7808
1972-06-30,1069.83024691358,1039.3491
1972-07-31,1910.0955794504187,1927.024
1972-08-31,1059.9611708482676,1034.2036
1972-09-30,775.8487654320987,740.5111
1972-10-31,658.9755077658302,647.89136
1972-11-30,364.00462962962956,354.77097
1972-12-31,213.00029868578244,202.54762
1973-01-31,174.99253285543608,167.73578
1973-02-28,176.00859788359787,168.55186
1973-03-31,227.0011947431302,218.43521
1973-04-30,293.98148148148147,314.22604
1973-05-31,564.1427718040621,494.38522
1973-06-30,1050.1543209876545,994.0881
1973-07-31,919.9522102747909,860.95654
1973-08-31,897.1774193548385,874.517
1973-09-30,1020.0617283950618,979.7047
1973-10-31,1040.1732377538829,1039.9015
1973-11-30,535.8796296296297,491.3075
1973-12-31,246.00507765830343,216.19916
1974-01-31,168.01075268817203,145.75896
1974-02-28,175.01653439153438,150.25581
1974-03-31,219.98207885304657,186.39195
1974-04-30,305.0154320987654,267.44788
1974-05-31,486.857825567503,433.48334
1974-06-30,910.8796296296296,847.2614
1974-07-31,896.0573476702509,826.6855
1974-08-31,999.8506571087216,1004.36194
1974-09-30,1359.9537037037037,1339.2736
1974-10-31,956.1678614097968,959.74384
1974-11-30,589.891975308642,585.4675
1974-12-31,278.0017921146953,249.91815
1975-01-31,178.9874551971326,151.17151
1975-02-28,183.98644179894177,150.27023
1975-03-31,233.9829749103942,194.2357
1975-04-30,316.01080246913585,255.67786
1975-05-31,683.9904420549582,640.1751
1975-06-30,1140.0462962962963,1118.4213
1975-07-31,2230.0627240143367,2272.598
1975-08-31,1829.823775388292,1826.3767
1975-09-30,1689.814814814815,1692.1023
1975-10-31,1960.1254480286736,1964.2295
1975-11-30,881.9444444444445,869.91174
1975-12-31,354.01732377538826,344.7001
1976-01-31,239.99402628434885,236.60881
1976-02-29,242.0178799489144,223.39655
1976-03-31,321.98327359617684,312.5165
1976-04-30,449.84567901234567,407.82053
1976-05-31,636.9474313022699,601.2648
1976-06-30,1170.138888888889,1127.0325
1976-07-31,1469.9074074074072,1497.8595
1976-08-31,1920.1762246117084,1939.5701
1976-09-30,2000.0,1868.3705
1976-10-31,1089.8297491039427,1037.9763
1976-11-30,523.9197530864197,497.04837
1976-12-31,289.98655913978496,264.9996
1977-01-31,214.00836320191158,199.744
1977-02-28,204.98511904761904,210.43935
1977-03-31,293.01075268817203,250.87822
1977-04-30,606.8672839506173,582.45953
1977-05-31,860.9617682198326,835.162
1977-06-30,966.820987654321,953.6614
1977-07-31,800.8512544802867,771.0551
